 EEE-HPT-0-TIP.DATA                                                             
          NK          NJ        NBLADE    UNITS
          41          17          46           1
       X           R           RT
  6339.31543   365.76697     0.55648
  6339.40771   365.76651     0.50912
  6339.49121   365.76617     0.44611
  6339.56201   365.76593     0.37159
  6339.60352   365.76581     0.27594
  6339.63135   365.76572     0.17578
  6339.64893   365.76569     0.07315
  6339.64844   365.76569    -0.03001
  6339.63184   365.76572    -0.13271
  6339.61279   365.76578    -0.23483
  6339.54688   365.76596    -0.50449
  6339.44336   365.76636    -0.93650
  6339.30762   365.76700    -1.52485
  6339.15039   365.76797    -2.26448
  6338.95312   365.76950    -3.14359
  6338.72754   365.77158    -4.15785
  6338.45898   365.77454    -5.29618
  6338.17480   365.77853    -6.55779
  6337.86133   365.78397    -7.93195
  6337.51855   365.79120    -9.41118
  6337.14600   365.80078   -10.98822
  6336.75439   365.81281   -12.65798
  6336.33154   365.82812   -14.41021
  6335.88037   365.84747   -16.23807
  6335.41260   365.87094   -18.13734
  6334.92236   365.89899   -20.09878
  6334.39893   365.93283   -22.11216
  6333.84521   365.97296   -24.17074
  6333.27686   366.01855   -26.27136
  6332.68994   366.07034   -28.40517
  6332.07959   366.12909   -30.56335
  6331.44238   366.19583   -32.73721
  6330.77441   366.27170   -34.91779
  6330.07373   366.35767   -37.09647
  6329.34619   366.45377   -39.26743
  6328.59082   366.56097   -41.42163
  6327.77148   366.68561   -43.53708
  6326.93799   366.82141   -45.62466
  6326.09131   366.96844   -47.67635
  6325.18457   367.13599   -49.66158
  6324.22803   367.32404   -51.57450
  6323.23193   367.53244   -53.40956
  6322.15234   367.77374   -55.12608
  6320.93164   368.06750   -56.65374
  6319.63135   368.40860   -58.00591
  6318.25684   368.80441   -59.14853
  6316.81885   369.25418   -60.02634
  6315.37354   369.73126   -60.66758
  6313.95605   370.20129   -61.09071
  6312.59229   370.63281   -61.29597
  6311.31348   371.00415   -61.28841
  6310.15625   371.30597   -61.10571
  6309.15332   371.54218   -60.77528
  6308.34180   371.71945   -60.32054
  6307.79346   371.83350   -59.74383
  6307.38721   371.91541   -59.23892
  6307.10303   371.97144   -58.83553
  6306.83984   372.02243   -58.41744
  6306.60645   372.06717   -57.98115
  6306.40234   372.10580   -57.53019
  6306.21631   372.14059   -57.07101
  6306.04541   372.17242   -56.60609
  6305.90283   372.19867   -56.13143
  6305.81250   372.21524   -55.64397
  6305.74219   372.22803   -55.15293
  6305.75293   372.22601   -54.65669
  6305.82959   372.21198   -54.16642
  6305.94189   372.19138   -53.68193
  6306.13818   372.15521   -53.22786
  6306.46338   372.09421   -52.86086
  6306.79150   372.03183   -52.49376
  6307.13525   371.96506   -52.14298
  6307.47412   371.89798   -51.78669
  6307.81396   371.82928   -51.43177
  6308.23633   371.74185   -50.99578
  6308.72900   371.63626   -50.47568
  6309.28320   371.51282   -49.87026
  6309.91113   371.36554   -49.20063
  6310.58936   371.19711   -48.45057
  6311.29785   371.00842   -47.61168
  6312.05127   370.79437   -46.70455
  6312.87061   370.54724   -45.75523
  6313.68311   370.28998   -44.70388
  6314.56348   370.00122   -43.63028
  6315.43555   369.71048   -42.46996
  6316.34619   369.40817   -41.26865
  6317.27100   369.10950   -40.01132
  6318.22021   368.81555   -38.71272
  6319.18457   368.53308   -37.37175
  6320.15967   368.26627   -35.99149
  6321.11816   368.02103   -34.55934
  6322.07715   367.79114   -33.09446
  6323.04004   367.57419   -31.60883
  6323.98975   367.37271   -30.09675
  6324.92383   367.18607   -28.56358
  6325.85010   367.01196   -27.02104
  6326.75684   366.85208   -25.46878
  6327.62744   366.70837   -23.90417
  6328.48975   366.57593   -22.34922
  6329.31348   366.45825   -20.79442
  6330.10938   366.35318   -19.25198
  6330.87891   366.25946   -17.72927
  6331.61719   366.17700   -16.23005
  6332.32227   366.10510   -14.75969
  6332.98633   366.04361   -13.32073
  6333.62061   365.99045   -11.92494
  6334.22314   365.94510   -10.57725
  6334.78711   365.90735    -9.28112
  6335.31885   365.87607    -8.04483
  6335.81885   365.85037    -6.87517
  6336.27588   365.83035    -5.77275
  6336.69629   365.81476    -4.74648
  6337.08789   365.80243    -3.80559
  6337.44238   365.79300    -2.95229
  6337.75293   365.78610    -2.19005
  6338.02783   365.78098    -1.52768
  6338.24854   365.77744    -0.96387
  6338.42627   365.77496    -0.50904
  6338.55029   365.77347    -0.16469
  6338.63623   365.77249     0.05723
  6338.67627   365.77206     0.15491
  6338.72217   365.77161     0.24815
  6338.77686   365.77109     0.33514
  6338.84375   365.77045     0.41573
  6338.92139   365.76978     0.48447
  6339.01123   365.76901     0.53640
  6339.11035   365.76828     0.56821
  6339.21436   365.76755     0.57716
  6339.31543   365.76697     0.55648
