 EEE-HPT-3-TIP.DATA                                                             
          NK          NJ        NBLADE    UNITS
          41          17          70           1
       X           R           RT
  6494.75342   380.94724   -18.98305
  6494.63818   380.94601   -19.04615
  6494.51221   380.94473   -19.08199
  6494.38135   380.94351   -19.08922
  6494.25098   380.94235   -19.07071
  6494.12891   380.94131   -19.02346
  6494.01904   380.94049   -18.95217
  6493.92383   380.93979   -18.86211
  6493.83643   380.93921   -18.76252
  6493.75488   380.93866   -18.66009
  6493.62793   380.93790   -18.49129
  6493.45459   380.93698   -18.26232
  6493.23877   380.93604   -17.97398
  6492.97754   380.93509   -17.63279
  6492.66650   380.93439   -17.24646
  6492.31934   380.93408   -16.80863
  6491.93848   380.93433   -16.32165
  6491.51758   380.93521   -15.79472
  6491.06250   380.93692   -15.22720
  6490.57324   380.93961   -14.62427
  6490.04346   380.94342   -13.99455
  6489.48633   380.94833   -13.33193
  6488.90479   380.95447   -12.63821
  6488.29688   380.96185   -11.91968
  6487.65918   380.97061   -11.18384
  6486.99512   380.98068   -10.43132
  6486.31494   380.99194    -9.65874
  6485.61719   381.00436    -8.87096
  6484.89551   381.01797    -8.07863
  6484.15820   381.03250    -7.27890
  6483.41406   381.04767    -6.46818
  6482.66016   381.06345    -5.65357
  6481.88867   381.07977    -4.84695
  6481.11963   381.09616    -4.03410
  6480.35254   381.11240    -3.22089
  6479.58496   381.12836    -2.41267
  6478.81396   381.14398    -1.61847
  6478.04980   381.15881    -0.83159
  6477.29932   381.17264    -0.05158
  6476.55762   381.18539     0.71379
  6475.81982   381.19705     1.45370
  6475.10352   381.20721     2.18146
  6474.40625   381.21591     2.89001
  6473.72412   381.22318     3.57015
  6473.06299   381.22894     4.22366
  6472.40967   381.23318     4.83117
  6471.83789   381.23572     5.46226
  6471.26611   381.23706     6.03321
  6470.72412   381.23718     6.56687
  6470.21875   381.23621     7.06517
  6469.75293   381.23434     7.52730
  6469.32324   381.23175     7.94400
  6468.93457   381.22864     8.31594
  6468.59326   381.22534     8.64468
  6468.30225   381.22211     8.92927
  6468.06494   381.21912     9.16682
  6467.88232   381.21661     9.35510
  6467.70557   381.21405     9.54851
  6467.53711   381.21146     9.74940
  6467.38135   381.20895     9.96003
  6467.24561   381.20660    10.18411
  6467.15137   381.20499    10.42829
  6467.11572   381.20432    10.68766
  6467.13574   381.20468    10.94871
  6467.22070   381.20618    11.19623
  6467.36035   381.20859    11.41701
  6467.54785   381.21164    11.60015
  6467.76025   381.21487    11.75336
  6467.98682   381.21808    11.88431
  6468.22510   381.22116    11.99384
  6468.47168   381.22403    12.08135
  6468.72510   381.22672    12.14758
  6468.98242   381.22906    12.19506
  6469.24268   381.23117    12.22580
  6469.58643   381.23340    12.24283
  6470.00879   381.23547    12.23003
  6470.50439   381.23688    12.17924
  6471.06445   381.23724    12.08282
  6471.67969   381.23621    11.91958
  6472.34229   381.23352    11.69359
  6473.04443   381.22906    11.40325
  6473.77783   381.22269    11.04432
  6474.53320   381.21445    10.61512
  6475.30908   381.20441    10.12463
  6476.10010   381.19275     9.57509
  6476.88965   381.17981     8.95446
  6477.67627   381.16577     8.27036
  6478.46631   381.15082     7.53887
  6479.24170   381.13538     6.74878
  6480.00293   381.11972     5.90851
  6480.75830   381.10385     5.03255
  6481.50635   381.08795     4.12481
  6482.23535   381.07242     3.18164
  6482.94775   381.05737     2.21142
  6483.64893   381.04285     1.22208
  6484.34326   381.02881     0.22293
  6485.02246   381.01553    -0.78778
  6485.67969   381.00323    -1.81023
  6486.32275   380.99182    -2.83375
  6486.95605   380.98132    -3.85131
  6487.57422   380.97183    -4.86196
  6488.17041   380.96353    -5.86531
  6488.74707   380.95630    -6.85551
  6489.30518   380.95013    -7.82776
  6489.84619   380.94504    -8.77716
  6490.37402   380.94092    -9.69658
  6490.87451   380.93787   -10.59004
  6491.34766   380.93579   -11.45327
  6491.79688   380.93454   -12.28022
  6492.22363   380.93408   -13.06580
  6492.62549   380.93436   -13.80662
  6493.00635   380.93521   -14.49720
  6493.35693   380.93649   -15.13782
  6493.66650   380.93814   -15.73039
  6493.94629   380.93994   -16.26427
  6494.20312   380.94193   -16.73169
  6494.41748   380.94385   -17.13906
  6494.59570   380.94556   -17.47869
  6494.74463   380.94714   -17.74296
  6494.85303   380.94836   -17.93328
  6494.91455   380.94907   -18.04899
  6494.97168   380.94977   -18.16731
  6495.01416   380.95029   -18.29154
  6495.03613   380.95056   -18.42121
  6495.02881   380.95047   -18.55169
  6494.99316   380.95001   -18.67811
  6494.93506   380.94931   -18.79536
  6494.85400   380.94836   -18.89833
  6494.75342   380.94724   -18.98305
