# x,r,theta
247.000030,12.053736,0.000000
247.010659,12.057315,0.000000
247.021286,12.060901,0.000000
247.031910,12.064494,0.000000
247.042532,12.068094,0.000000
247.053152,12.071701,0.000000
247.063769,12.075316,0.000000
247.074383,12.078937,0.000000
247.084995,12.082567,0.000000
247.095605,12.086204,0.000000
247.106212,12.089848,0.000000
247.116816,12.093500,0.000000
247.127417,12.097159,0.000000
247.138017,12.100825,0.000000
247.148613,12.104499,0.000000
247.159207,12.108179,0.000000
247.169799,12.111867,0.000000
247.180388,12.115561,0.000000
247.190975,12.119263,0.000000
247.201558,12.122972,0.000000
247.212140,12.126689,0.000000
247.222718,12.130413,0.000000
247.233294,12.134145,0.000000
247.243867,12.137885,0.000000
247.254437,12.141632,0.000000
247.265005,12.145386,0.000000
247.275571,12.149147,0.000000
247.286134,12.152915,0.000000
247.296695,12.156691,0.000000
247.307253,12.160474,0.000000
247.317808,12.164265,0.000000
247.328360,12.168063,0.000000
247.338910,12.171869,0.000000
247.349457,12.175683,0.000000
247.360002,12.179504,0.000000
247.370544,12.183332,0.000000
247.381083,12.187167,0.000000
247.391620,12.191008,0.000000
247.402154,12.194857,0.000000
247.412685,12.198714,0.000000
247.423213,12.202579,0.000000
247.433738,12.206452,0.000000
247.444259,12.210333,0.000000
247.454778,12.214221,0.000000
247.465295,12.218117,0.000000
247.475808,12.222020,0.000000
247.486319,12.225929,0.000000
247.496828,12.229846,0.000000
247.507334,12.233770,0.000000
247.517838,12.237701,0.000000
247.528338,12.241641,0.000000
247.538836,12.245588,0.000000
247.549332,12.249544,0.000000
247.559824,12.253507,0.000000
247.570313,12.257478,0.000000
247.580799,12.261456,0.000000
247.591282,12.265441,0.000000
247.601762,12.269434,0.000000
247.612239,12.273434,0.000000
247.622714,12.277442,0.000000
247.633185,12.281457,0.000000
247.643655,12.285479,0.000000
247.654121,12.289510,0.000000
247.664585,12.293548,0.000000
247.675046,12.297594,0.000000
247.685503,12.301648,0.000000
247.695957,12.305709,0.000000
247.706407,12.309778,0.000000
247.716854,12.313855,0.000000
247.727299,12.317939,0.000000
247.737740,12.322030,0.000000
247.748179,12.326128,0.000000
247.758616,12.330234,0.000000
247.769050,12.334348,0.000000
247.779481,12.338469,0.000000
247.789908,12.342598,0.000000
247.800333,12.346735,0.000000
247.810755,12.350881,0.000000
247.821173,12.355034,0.000000
247.831588,12.359196,0.000000
247.842000,12.363365,0.000000
247.852408,12.367542,0.000000
247.862814,12.371726,0.000000
247.873216,12.375918,0.000000
247.883616,12.380118,0.000000
247.894012,12.384325,0.000000
247.904406,12.388539,0.000000
247.914796,12.392761,0.000000
247.925184,12.396991,0.000000
247.935568,12.401228,0.000000
247.945949,12.405473,0.000000
247.956326,12.409726,0.000000
247.966700,12.413987,0.000000
247.977070,12.418256,0.000000
247.987437,12.422533,0.000000
247.997800,12.426818,0.000000
248.008161,12.431112,0.000000
248.018518,12.435413,0.000000
248.028873,12.439723,0.000000
248.039224,12.444040,0.000000
248.049572,12.448364,0.000000
248.059918,12.452696,0.000000
248.070261,12.457035,0.000000
248.080600,12.461382,0.000000
248.090936,12.465736,0.000000
248.101269,12.470098,0.000000
248.111598,12.474469,0.000000
248.121924,12.478847,0.000000
248.132246,12.483234,0.000000
248.142564,12.487628,0.000000
248.152879,12.492031,0.000000
248.163190,12.496442,0.000000
248.173497,12.500862,0.000000
248.183802,12.505289,0.000000
248.194103,12.509724,0.000000
248.204400,12.514167,0.000000
248.214695,12.518617,0.000000
248.224986,12.523075,0.000000
248.235273,12.527541,0.000000
248.245557,12.532015,0.000000
248.255837,12.536497,0.000000
248.266114,12.540987,0.000000
248.276387,12.545483,0.000000
248.286659,12.549981,0.000000
248.296931,12.554482,0.000000
248.307204,12.558981,0.000000
248.317479,12.563476,0.000000
248.327757,12.567965,0.000000
248.338039,12.572445,0.000000
248.348326,12.576913,0.000000
248.358620,12.581366,0.000000
248.368921,12.585802,0.000000
248.379230,12.590217,0.000000
248.389550,12.594609,0.000000
248.399879,12.598976,0.000000
248.410221,12.603316,0.000000
248.420576,12.607625,0.000000
248.430944,12.611901,0.000000
248.441328,12.616140,0.000000
248.451728,12.620340,0.000000
248.462145,12.624496,0.000000
248.472580,12.628607,0.000000
248.483034,12.632671,0.000000
248.493506,12.636687,0.000000
248.503996,12.640653,0.000000
248.514506,12.644568,0.000000
248.525035,12.648432,0.000000
248.535583,12.652245,0.000000
248.546148,12.656007,0.000000
248.556730,12.659721,0.000000
248.567329,12.663387,0.000000
248.577944,12.667006,0.000000
248.588575,12.670578,0.000000
248.599221,12.674104,0.000000
248.609882,12.677585,0.000000
248.620557,12.681022,0.000000
248.631247,12.684414,0.000000
248.641951,12.687763,0.000000
248.652668,12.691070,0.000000
248.663398,12.694334,0.000000
248.674141,12.697557,0.000000
248.684897,12.700739,0.000000
248.695664,12.703880,0.000000
248.706443,12.706982,0.000000
248.717233,12.710045,0.000000
248.728033,12.713070,0.000000
248.738843,12.716057,0.000000
248.749664,12.719006,0.000000
248.760494,12.721919,0.000000
248.771334,12.724794,0.000000
248.782184,12.727633,0.000000
248.793044,12.730434,0.000000
248.803913,12.733197,0.000000
248.814792,12.735923,0.000000
248.825680,12.738610,0.000000
248.836578,12.741259,0.000000
248.847486,12.743868,0.000000
248.858403,12.746438,0.000000
248.869329,12.748968,0.000000
248.880265,12.751458,0.000000
248.891209,12.753909,0.000000
248.902162,12.756320,0.000000
248.913123,12.758691,0.000000
248.924094,12.761021,0.000000
248.935073,12.763310,0.000000
248.946061,12.765558,0.000000
248.957057,12.767764,0.000000
248.968062,12.769928,0.000000
248.979075,12.772051,0.000000
248.990096,12.774132,0.000000
249.001124,12.776171,0.000000
249.012160,12.778168,0.000000
249.023203,12.780123,0.000000
249.034253,12.782036,0.000000
249.045311,12.783908,0.000000
249.056376,12.785738,0.000000
249.067448,12.787525,0.000000
249.078526,12.789271,0.000000
249.089612,12.790975,0.000000
249.100704,12.792638,0.000000
249.111803,12.794259,0.000000
249.122907,12.795838,0.000000
249.134017,12.797375,0.000000
249.145133,12.798872,0.000000
249.156254,12.800326,0.000000
249.167380,12.801739,0.000000
249.178512,12.803111,0.000000
249.189648,12.804442,0.000000
249.200789,12.805732,0.000000
249.211935,12.806981,0.000000
249.223084,12.808188,0.000000
249.234238,12.809355,0.000000
249.245396,12.810482,0.000000
249.256558,12.811567,0.000000
249.267723,12.812611,0.000000
249.278893,12.813614,0.000000
249.290067,12.814575,0.000000
249.301244,12.815495,0.000000
249.312425,12.816374,0.000000
249.323609,12.817210,0.000000
249.334797,12.818004,0.000000
249.345987,12.818756,0.000000
249.357180,12.819466,0.000000
249.368375,12.820132,0.000000
249.379573,12.820756,0.000000
249.390774,12.821337,0.000000
249.401977,12.821875,0.000000
249.413182,12.822370,0.000000
249.424389,12.822821,0.000000
249.435597,12.823228,0.000000
249.446807,12.823591,0.000000
249.458018,12.823911,0.000000
249.469231,12.824186,0.000000
249.480444,12.824418,0.000000
249.491657,12.824605,0.000000
249.502871,12.824749,0.000000
249.514086,12.824852,0.000000
249.525301,12.824921,0.000000
249.536516,12.824965,0.000000
249.547731,12.824991,0.000000
249.558946,12.825008,0.000000
249.570161,12.825021,0.000000
249.581376,12.825025,0.000000
249.592591,12.825019,0.000000
249.603806,12.824999,0.000000
249.615021,12.824960,0.000000
249.626236,12.824903,0.000000
249.637452,12.824832,0.000000
249.648667,12.824754,0.000000
249.659883,12.824676,0.000000
249.671099,12.824603,0.000000
249.682316,12.824528,0.000000
249.693531,12.824422,0.000000
249.704745,12.824251,0.000000
249.715956,12.823982,0.000000
249.727164,12.823581,0.000000
249.738366,12.823028,0.000000
249.749562,12.822324,0.000000
249.760748,12.821474,0.000000
249.771921,12.820483,0.000000
249.783081,12.819355,0.000000
249.794225,12.818102,0.000000
249.805358,12.816752,0.000000
249.816484,12.815332,0.000000
249.827605,12.813872,0.000000
249.838725,12.812401,0.000000
249.849848,12.810946,0.000000
249.860976,12.809538,0.000000
249.872113,12.808206,0.000000
249.883260,12.806981,0.000000
249.894421,12.805892,0.000000
249.905597,12.804954,0.000000
249.916784,12.804154,0.000000
249.927981,12.803479,0.000000
249.939184,12.802912,0.000000
249.950391,12.802440,0.000000
249.961600,12.802047,0.000000
249.972810,12.801715,0.000000
249.984021,12.801428,0.000000
249.995233,12.801168,0.000000
250.006446,12.800918,0.000000
250.017659,12.800672,0.000000
250.028872,12.800439,0.000000
250.040086,12.800230,0.000000
250.051300,12.800059,0.000000
250.062514,12.799936,0.000000
250.073729,12.799865,0.000000
250.084944,12.799829,0.000000
250.096159,12.799814,0.000000
250.107375,12.799803,0.000000
250.118590,12.799780,0.000000
250.129805,12.799735,0.000000
250.141020,12.799670,0.000000
250.152235,12.799588,0.000000
250.163450,12.799491,0.000000
250.174664,12.799383,0.000000
250.185877,12.799264,0.000000
250.197091,12.799132,0.000000
250.208304,12.798986,0.000000
250.219517,12.798822,0.000000
250.230731,12.798638,0.000000
250.241944,12.798434,0.000000
250.253157,12.798208,0.000000
250.264370,12.797961,0.000000
250.275583,12.797694,0.000000
250.286795,12.797406,0.000000
250.298007,12.797098,0.000000
250.309218,12.796769,0.000000
250.320429,12.796421,0.000000
250.331638,12.796053,0.000000
250.342847,12.795666,0.000000
250.354054,12.795260,0.000000
250.365260,12.794835,0.000000
250.376466,12.794392,0.000000
250.387670,12.793931,0.000000
250.398874,12.793451,0.000000
250.410078,12.792954,0.000000
250.421281,12.792439,0.000000
250.432483,12.791906,0.000000
250.443685,12.791357,0.000000
250.454886,12.790791,0.000000
250.466086,12.790209,0.000000
250.477286,12.789610,0.000000
250.488485,12.788994,0.000000
250.499683,12.788363,0.000000
250.510880,12.787715,0.000000
250.522076,12.787051,0.000000
250.533272,12.786372,0.000000
250.544467,12.785678,0.000000
250.555661,12.784969,0.000000
250.566853,12.784246,0.000000
250.578045,12.783510,0.000000
250.589235,12.782759,0.000000
250.600424,12.781995,0.000000
250.611612,12.781217,0.000000
250.622798,12.780426,0.000000
250.633984,12.779621,0.000000
250.645168,12.778804,0.000000
250.656351,12.777973,0.000000
250.667534,12.777129,0.000000
250.678716,12.776274,0.000000
250.689898,12.775406,0.000000
