 EEE-HPT-2-TIP.DATA                                                             
          NK          NJ        NBLADE    UNITS
          41          17          48           1
       X           R           RT
  6453.66699   380.45947     6.67784
  6453.75684   380.46579     6.62249
  6453.83203   380.47110     6.54809
  6453.89014   380.47525     6.46029
  6453.92090   380.47742     6.35958
  6453.94189   380.47891     6.25517
  6453.94336   380.47900     6.15050
  6453.92480   380.47766     6.04592
  6453.90186   380.47607     5.94261
  6453.87354   380.47406     5.84090
  6453.77100   380.46683     5.54919
  6453.60693   380.45526     5.07258
  6453.39697   380.44058     4.41483
  6453.13184   380.42218     3.58794
  6452.80322   380.39966     2.60320
  6452.41992   380.37363     1.46695
  6451.99316   380.34491     0.18419
  6451.52100   380.31351    -1.23537
  6450.99707   380.27884    -2.78078
  6450.42578   380.24109    -4.44490
  6449.81299   380.20013    -6.22018
  6449.15967   380.15591    -8.09859
  6448.47168   380.10825   -10.07297
  6447.74951   380.05661   -12.13427
  6446.98096   379.99951   -14.26970
  6446.17090   379.93643   -16.47154
  6445.32324   379.86667   -18.73220
  6444.43115   379.78842   -21.03995
  6443.47656   379.69858   -23.37790
  6442.46533   379.59610   -25.73831
  6441.38818   379.47867   -28.10698
  6440.22754   379.34229   -30.46425
  6438.97998   379.18384   -32.79584
  6437.64355   379.00015   -35.08706
  6436.22461   378.78903   -37.32632
  6434.71582   378.54642   -39.49419
  6433.10742   378.26761   -41.56495
  6431.40674   377.95007   -43.52206
  6429.61475   377.59033   -45.34272
  6427.71533   377.18045   -46.97573
  6425.72021   376.71802   -48.38900
  6423.65137   376.20401   -49.55582
  6421.52930   375.63901   -50.42612
  6419.40039   375.03320   -50.99931
  6417.31006   374.40305   -51.28368
  6415.29785   373.77444   -51.30005
  6413.39551   373.17316   -51.08365
  6411.63086   372.61786   -50.66567
  6410.02246   372.11438   -50.09653
  6408.58936   371.66663   -49.40707
  6407.33105   371.27487   -48.65318
  6406.24316   370.93826   -47.88157
  6405.32666   370.65811   -47.11954
  6404.57129   370.43088   -46.40331
  6403.96436   370.25110   -45.76647
  6403.49609   370.11432   -45.23489
  6403.15967   370.01746   -44.82673
  6402.83838   369.92572   -44.40621
  6402.53516   369.84003   -43.97088
  6402.25098   369.76083   -43.52107
  6402.00195   369.69186   -43.05008
  6401.80762   369.63861   -42.55139
  6401.67773   369.60327   -42.03072
  6401.64551   369.59454   -41.49379
  6401.72314   369.61560   -40.96089
  6401.91504   369.66800   -40.45969
  6402.20898   369.74915   -40.01458
  6402.58057   369.85294   -39.63739
  6403.00684   369.97357   -39.32817
  6403.46729   370.10599   -39.07963
  6403.94824   370.24625   -38.87973
  6404.43945   370.39169   -38.71249
  6404.93750   370.54062   -38.56758
  6405.44043   370.69260   -38.44628
  6406.07715   370.88715   -38.34569
  6406.82861   371.11902   -38.19041
  6407.69238   371.38712   -38.00047
  6408.66211   371.68945   -37.77937
  6409.73145   372.02338   -37.52179
  6410.89209   372.38641   -37.22036
  6412.13574   372.77634   -36.86817
  6413.45605   373.19223   -36.46759
  6414.84229   373.63065   -36.00534
  6416.28369   374.08417   -35.46593
  6417.77197   374.54471   -34.84565
  6419.29590   375.00238   -34.13522
  6420.84619   375.44894   -33.33286
  6422.40527   375.87704   -32.42134
  6423.96729   376.28479   -31.41421
  6425.52148   376.67023   -30.31276
  6427.05957   377.03207   -29.12231
  6428.56934   377.36841   -27.84460
  6430.04736   377.67960   -26.49072
  6431.49707   377.96747   -25.07859
  6432.90088   378.23026   -23.60364
  6434.26904   378.47110   -22.08738
  6435.60156   378.69110   -20.54036
  6436.89307   378.89050   -18.96865
  6438.13330   379.06915   -17.37379
  6439.33594   379.23038   -15.77591
  6440.50146   379.37543   -14.18370
  6441.62207   379.50497   -12.60070
  6442.69482   379.62000   -11.03220
  6443.72021   379.72211    -9.48793
  6444.70605   379.81311    -7.98039
  6445.64697   379.89380    -6.51391
  6446.54004   379.96564    -5.09409
  6447.37891   380.02942    -3.72449
  6448.15771   380.08603    -2.40980
  6448.88232   380.13684    -1.16053
  6449.55615   380.18286     0.01368
  6450.17578   380.22443     1.10762
  6450.73730   380.26169     2.11645
  6451.23877   380.29483     3.03363
  6451.67725   380.32388     3.85395
  6452.05127   380.34879     4.57068
  6452.36768   380.37009     5.17335
  6452.62305   380.38742     5.65667
  6452.80127   380.39954     6.02187
  6452.91943   380.40762     6.25334
  6452.97217   380.41122     6.34581
  6453.03076   380.41525     6.43329
  6453.09766   380.41986     6.51489
  6453.17480   380.42514     6.58892
  6453.26025   380.43109     6.64933
  6453.35742   380.43781     6.69260
  6453.46045   380.44498     6.71380
  6453.56592   380.45239     6.70906
  6453.66699   380.45947     6.67784
