 
 EEE-HPT-0                                                             
 
        K      NBNEW      IXMN      LETE      ITYY     LED-in      TED-in     XatIXMN     Tatixmn    RatIXMN    LEMA(DEG)     TEMA(DEG)  CHORD
         1       799       389         0         3   -0.128767   -0.090562  248.261414   -1.835494   12.547556  -10.122206   70.550598    2.330350
         2       799       388         0         3   -0.133985   -0.085312  248.261276   -1.909704   13.057481   -9.989444   71.255287    2.325370
         3       799       391         0         3   -0.156308   -0.075050  248.260071   -2.046139   13.942760   -8.085695   73.238106    2.444451
         4       799       394         0         3   -0.194343   -0.054615  248.258560   -2.201777   14.832522  -11.208342   73.853485    2.599227
         5       799       392         0         3   -0.289628   -0.055080  248.258957   -2.214230   14.964452    0.000000   74.585564    2.597263
 
 EEE-HPT-1                                                             
 
        K      NBNEW      IXMN      LETE      ITYY     LED-in      TED-in     XatIXMN     Tatixmn    RatIXMN    LEMA(DEG)     TEMA(DEG)  CHORD
         1       799       406         0         3    0.140499    0.047927  250.037964    0.038774   12.672361   32.923729  -62.951782    1.345244
         2       799       406         0         3    0.140499    0.047922  250.037964    0.038774   12.694398   32.923603  -62.950348    1.345215
         3       799       404         0         3    0.127120    0.048887  250.023911    0.113989   13.620384   33.733013  -64.336304    1.433383
         4       799       402         0         3    0.113538    0.048461  250.023911    0.202599   14.545543   25.336948  -60.147545    1.499352
         5       799       402         0         3    0.113538    0.048463  250.023911    0.202599   14.556558   25.337147  -60.142891    1.499355
 
 EEE-HPT-2                                                             
 
        K      NBNEW      IXMN      LETE      ITYY     LED-in      TED-in     XatIXMN     Tatixmn    RatIXMN    LEMA(DEG)     TEMA(DEG)  CHORD
         1       799       402         0         3   -0.183479   -0.049735  252.215118   -1.563044   12.561942  -16.787718   66.198593    2.394233
         2       799       402         0         3   -0.187871   -0.050221  252.215118   -1.563010   12.615446  -17.178246   66.203217    2.391592
         3       799       400         0         3   -0.198129   -0.063867  252.114243   -1.602043   13.723243  -20.480000   63.828678    2.593780
         4       799       402         0         3   -0.266384   -0.069000  252.010452   -1.656702   14.783038  -17.671389   66.015808    2.854043
 
 EEE-HPT-3                                                             
 
        K      NBNEW      IXMN      LETE      ITYY     LED-in      TED-in     XatIXMN     Tatixmn    RatIXMN    LEMA(DEG)     TEMA(DEG)  CHORD
         1       799       406         0         3    0.083091    0.075196  254.489319    0.093772   12.127927   32.749172  -57.349895    1.514081
         2       799       406         0         3    0.083089    0.075201  254.489319    0.093772   12.149666   32.749870  -57.350994    1.514080
         3       799       402         0         3    0.089423    0.055070  254.539597    0.247484   13.645580   10.673968  -57.448372    1.525848
         4       799       402         0         3    0.108201    0.062275  254.611908    0.426005   15.147782  -15.525330  -56.349403    1.593663
         5       799       402         0         3    0.108201    0.062277  254.611908    0.426005   15.164132  -15.524979  -56.349014    1.593663
