# x,r,theta
247.000080,14.740816,0.000000
247.113572,14.744194,0.000000
247.227103,14.745471,0.000000
247.340642,14.744610,0.000000
247.454139,14.741573,0.000000
247.567563,14.736325,0.000000
247.680858,14.728840,0.000000
247.793985,14.719090,0.000000
247.906884,14.707058,0.000000
248.019519,14.692724,0.000000
248.131834,14.676087,0.000000
248.243781,14.657137,0.000000
248.355262,14.635606,0.000000
248.465759,14.609512,0.000000
248.574523,14.576950,0.000000
248.682309,14.541248,0.000000
248.790874,14.508020,0.000000
248.900871,14.479925,0.000000
249.011930,14.456306,0.000000
249.123750,14.436619,0.000000
249.236202,14.420967,0.000000
249.349167,14.409555,0.000000
249.462495,14.402654,0.000000
249.576007,14.400299,0.000000
249.689545,14.401138,0.000000
249.803020,14.405055,0.000000
249.916482,14.409282,0.000000
250.030010,14.411099,0.000000
250.143547,14.412564,0.000000
250.257078,14.414174,0.000000
250.370612,14.415671,0.000000
250.484150,14.416760,0.000000
250.597695,14.417142,0.000000
250.711234,14.416520,0.000000
250.824763,14.414601,0.000000
250.938249,14.411101,0.000000
251.051704,14.406640,0.000000
251.165162,14.409540,0.000000
251.277802,14.423786,0.000000
251.390854,14.434304,0.000000
251.503868,14.445212,0.000000
251.616278,14.461173,0.000000
251.728024,14.481280,0.000000
251.839278,14.503975,0.000000
251.949933,14.529408,0.000000
252.059750,14.558239,0.000000
252.168760,14.589985,0.000000
252.277282,14.623387,0.000000
252.385668,14.657232,0.000000
252.493994,14.691253,0.000000
252.602266,14.725431,0.000000
252.710815,14.758731,0.000000
252.819970,14.789999,0.000000
252.929786,14.818827,0.000000
253.040219,14.845236,0.000000
253.151196,14.869215,0.000000
253.262682,14.890749,0.000000
253.374613,14.909810,0.000000
253.486943,14.926333,0.000000
253.599624,14.940294,0.000000
253.712576,14.951826,0.000000
253.825737,14.961187,0.000000
253.938997,14.969137,0.000000
254.052289,14.976698,0.000000
254.165542,14.984816,0.000000
254.278777,14.993157,0.000000
254.392092,15.000347,0.000000
254.505525,15.005325,0.000000
254.619035,15.008189,0.000000
254.732572,15.009296,0.000000
254.846110,15.009003,0.000000
254.959648,15.007664,0.000000
255.073173,15.005633,0.000000
255.186689,15.003265,0.000000
255.300208,15.000913,0.000000
255.413735,14.998930,0.000000
255.527271,14.997668,0.000000
255.640818,14.997484,0.000000
255.754351,14.998729,0.000000
255.867854,15.001775,0.000000
255.981250,15.007455,0.000000
256.094378,15.017102,0.000000
256.207040,15.031196,0.000000
256.319061,15.049674,0.000000
256.430353,15.072163,0.000000
256.540867,15.098200,0.000000
256.650586,15.127416,0.000000
256.759506,15.159483,0.000000
256.867633,15.194119,0.000000
256.974982,15.231113,0.000000
257.081495,15.270436,0.000000
257.187126,15.312082,0.000000
257.291813,15.356030,0.000000
257.395562,15.402157,0.000000
257.498385,15.450321,0.000000
257.600296,15.500374,0.000000
257.701352,15.552146,0.000000
257.801605,15.605456,0.000000
257.901128,15.660101,0.000000
258.000000,15.715928,0.000000
