 EEE-HPT-0-DW.DATA                                                              
          NK          NJ        NBLADE    UNITS
          41          33          46           1
       X           R           RT
  6345.58301   325.47696    35.39772
  6345.58301   325.47824    35.39780
  6345.58252   325.49359    35.39883
  6345.58008   325.53708    35.40175
  6345.57568   325.62274    35.40751
  6345.56885   325.76468    35.41709
  6345.55811   325.97693    35.43155
  6345.54297   326.27356    35.45223
  6345.52295   326.66864    35.48122
  6345.49805   327.17624    35.52185
  6345.46582   327.82452    35.58300
  6345.42871   328.58533    35.66221
  6345.38379   329.51492    35.74952
  6345.29150   331.53430    35.94878
  6345.20801   333.55402    36.09484
  6345.13574   335.57416    36.20349
  6345.09375   337.59515    36.35170
  6345.06494   339.61639    36.49785
  6345.04883   341.63779    36.64678
  6345.04346   343.65924    36.79660
  6345.04883   345.68066    36.93197
  6345.07227   347.70197    37.12260
  6345.10156   349.72324    37.31391
  6345.13330   351.74442    37.46259
  6345.16357   353.76562    37.61662
  6345.18945   355.78693    37.73346
  6345.18701   357.80835    37.85130
  6345.17822   359.82980    38.09782
  6345.16406   361.85120    38.27829
  6345.15674   362.78189    38.37438
  6345.15039   363.54361    38.45959
  6345.14453   364.19266    38.53392
  6345.13965   364.70087    38.59672
  6345.13623   365.09647    38.65799
  6345.13330   365.39343    38.71144
  6345.13184   365.60596    38.75137
  6345.12988   365.74805    38.77853
  6345.12939   365.83380    38.79501
  6345.12891   365.87732    38.80339
  6345.12891   365.89267    38.80635
  6345.12891   365.89395    38.80659
