 EEE-HPT-1-TIP.DATA                                                             
          NK          NJ        NBLADE    UNITS
          41          17          76           1
       X           R           RT
  6379.10107   365.96500   -20.26621
  6379.00977   365.95932   -20.31179
  6378.91064   365.95383   -20.33673
  6378.80859   365.94861   -20.34092
  6378.70801   365.94394   -20.32310
  6378.61523   365.94003   -20.28020
  6378.53223   365.93686   -20.21946
  6378.45996   365.93430   -20.14716
  6378.39453   365.93216   -20.06754
  6378.33301   365.93033   -19.98600
  6378.23096   365.92758   -19.84333
  6378.08398   365.92435   -19.64733
  6377.90039   365.92139   -19.39481
  6377.68018   365.91943   -19.09015
  6377.42529   365.91922   -18.73575
  6377.14111   365.92139   -18.33087
  6376.82861   365.92624   -17.87935
  6376.48486   365.93427   -17.38603
  6376.10938   365.94571   -16.85532
  6375.70605   365.96042   -16.28813
  6375.28223   365.97787   -15.68294
  6374.83984   365.99744   -15.04184
  6374.37256   366.01791   -14.37296
  6373.88477   366.03888   -13.67655
  6373.37842   366.05966   -12.95507
  6372.85107   366.07840   -12.21343
  6372.30371   366.09570   -11.45526
  6371.74316   366.11151   -10.67866
  6371.16162   366.12610    -9.89359
  6370.56006   366.13947    -9.10261
  6369.94434   366.15173    -8.30555
  6369.31250   366.16269    -7.50798
  6368.67139   366.17218    -6.70771
  6368.01855   366.18008    -5.91114
  6367.35205   366.18640    -5.12381
  6366.67090   366.19101    -4.35077
  6365.97656   366.19400    -3.59580
  6365.27002   366.19540    -2.86179
  6364.54883   366.19522    -2.15669
  6363.81299   366.19351    -1.48704
  6363.06396   366.19031    -0.85672
  6362.30518   366.18576    -0.26904
  6361.54395   366.17990     0.27824
  6360.78320   366.17291     0.78299
  6360.02783   366.16507     1.24308
  6359.27979   366.15643     1.65397
  6358.54639   366.14734     2.01865
  6357.83447   366.13800     2.34211
  6357.14551   366.12860     2.61963
  6356.48535   366.11945     2.85001
  6355.85889   366.11053     3.03506
  6355.27100   366.10211     3.17584
  6354.72803   366.09433     3.27712
  6354.23535   366.08734     3.34947
  6353.79834   366.08121     3.39948
  6353.42041   366.07596     3.43417
  6353.10645   366.07166     3.46084
  6352.79248   366.06741     3.48920
  6352.47900   366.06323     3.52493
  6352.16699   366.05920     3.57181
  6351.85840   366.05524     3.63769
  6351.55908   366.05161     3.73818
  6351.27930   366.04831     3.88390
  6351.03027   366.04535     4.07717
  6350.82373   366.04291     4.31520
  6350.69043   366.04135     4.60137
  6350.61768   366.04047     4.90803
  6350.60889   366.04034     5.22307
  6350.65137   366.04086     5.53574
  6350.72754   366.04178     5.84202
  6350.82666   366.04294     6.14154
  6350.95068   366.04440     6.43149
  6351.08936   366.04605     6.71482
  6351.24072   366.04785     6.99174
  6351.45410   366.05038     7.33872
  6351.74219   366.05380     7.74150
  6352.11670   366.05853     8.18238
  6352.58740   366.06470     8.64275
  6353.15918   366.07236     9.10197
  6353.83594   366.08176     9.53643
  6354.62109   366.09280     9.91350
  6355.50830   366.10553    10.20553
  6356.48486   366.11942    10.38259
  6357.53076   366.13391    10.42044
  6358.62207   366.14828    10.30563
  6359.73193   366.16174    10.03457
  6360.83691   366.17346     9.60713
  6361.91602   366.18292     9.03386
  6362.96045   366.18979     8.33746
  6363.95947   366.19397     7.53062
  6364.91113   366.19550     6.63171
  6365.81592   366.19446     5.65778
  6366.68848   366.19092     4.63294
  6367.52051   366.18497     3.55945
  6368.31641   366.17667     2.44957
  6369.08105   366.16632     1.31278
  6369.81250   366.15411     0.15544
  6370.51709   366.14035    -1.01335
  6371.19531   366.12531    -2.18756
  6371.84277   366.10883    -3.36381
  6372.46289   366.09088    -4.53553
  6373.05811   366.07132    -5.69576
  6373.62891   366.04956    -6.84007
  6374.17920   366.02631    -7.96069
  6374.69043   366.00406    -9.06255
  6375.18506   365.98209   -10.13033
  6375.65088   365.96262   -11.16482
  6376.09082   365.94635   -12.16005
  6376.50684   365.93365   -13.11072
  6376.89404   365.92505   -14.01423
  6377.25537   365.92026   -14.86483
  6377.59180   365.91910   -15.65721
  6377.90723   365.92148   -16.38552
  6378.18750   365.92654   -17.05087
  6378.43701   365.93353   -17.64717
  6378.65576   365.94168   -18.16941
  6378.83789   365.95007   -18.61540
  6378.99414   365.95844   -18.97624
  6379.11377   365.96591   -19.25215
  6379.19531   365.97186   -19.43845
  6379.23535   365.97482   -19.53283
  6379.27002   365.97751   -19.62897
  6379.29688   365.97958   -19.72781
  6379.31396   365.98096   -19.82879
  6379.31152   365.98074   -19.93065
  6379.28711   365.97885   -20.02994
  6379.24268   365.97540   -20.12166
  6379.17969   365.97064   -20.20149
  6379.10107   365.96500   -20.26621
