# HECC diffuser + EGV metal angles, derived from NASA/CR-2014-218114/REV1 Appendix C Tables C.25-C.30.
# beta_le/beta_te: blade METAL angle in DEGREES FROM MERIDIONAL, magnitude (0 = meridional, 90 = tangential).
# tan(beta) = r*dtheta/dm on the camber line, extrapolated past the LE/TE nose rounding. section 1 = hub, 2 = shroud.
# Generated by my_scripts/extract_hecc_vane_angles.py -- do not hand-edit.
row,section,span_pct,r_le_m,beta_le_deg,r_te_m,beta_te_deg,chord_m
diffuser_main,1,0,0.231329,79.64,0.284592,36.71,0.053263
diffuser_main,2,100,0.231329,79.64,0.284592,36.71,0.053263
diffuser_splitter,1,0,0.248798,70.37,0.284637,37.77,0.03584
diffuser_splitter,2,100,0.248798,70.37,0.284637,37.77,0.03584
egv,1,0,0.300121,48.27,0.300121,3.23,0.061812
egv,2,100,0.312321,47.98,0.312321,3.22,0.061812
