W/P,Y,gamma
0.002456263,-0.0006667,1.333
0.025320021,0.010360055,1.333
0.047388112,0.019723477,1.333
0.069450736,0.02941911,1.333
0.079261207,0.033432981,1.333
0.101356641,0.04113535,1.333
0.122629068,0.048835439,1.333
0.139797392,0.055859715,1.333
0.161069819,0.063559805,1.333
0.192986661,0.074611623,1.333
0.232277763,0.087677213,1.333
0.256024681,0.095051928,1.333
0.278959529,0.101759942,1.333
0.30517547,0.109141493,1.333
0.3256577,0.114846039,1.333
0.350244031,0.1212264,1.333
0.374012824,0.127272272,1.333
0.399427631,0.1333227,1.333
0.424019431,0.13937085,1.333
0.450251778,0.145755768,1.333
0.488790962,0.15450034,1.333
0.51913288,0.161228861,1.333
0.54783425,0.167620614,1.333
0.572447924,0.172339921,1.333
0.600337224,0.178064975,1.333
0.62331035,0.182447514,1.333
0.647111954,0.186500121,1.333
0.66927301,0.19021596,1.333
0.698001723,0.194946659,1.333
0.725089888,0.199340591,1.333
0.752172586,0.204066734,1.333
0.775162118,0.207452641,1.333
0.79404208,0.210494944,1.333
0.814562589,0.213874015,1.333
0.845760325,0.21861155,1.333
0.86792685,0.221995179,1.333
0.894208413,0.2253902,1.333
0.929521188,0.230139128,1.333
0.974688182,0.236244241,1.333
0.997683183,0.239297937,1.333
0.002456263,-0.0006667,1.3693
0.025320021,0.010360055,1.3693
0.047388112,0.019723477,1.3693
0.069450736,0.02941911,1.3693
0.079261207,0.033432981,1.3693
0.101329299,0.042796404,1.3693
0.124220398,0.052162104,1.3693
0.146304896,0.060528894,1.3693
0.164307165,0.066891027,1.3693
0.184762052,0.074256627,1.3693
0.204410337,0.080623317,1.3693
0.225693701,0.087658985,1.3693
0.245347454,0.093693464,1.3693
0.266636286,0.100396921,1.3693
0.288753594,0.106770446,1.3693
0.308407348,0.112804925,1.3693
0.331347664,0.119180729,1.3693
0.352652901,0.124887554,1.3693
0.37232306,0.129925401,1.3693
0.40921076,0.138997626,1.3693
0.438724201,0.146056079,1.3693
0.46332147,0.151772019,1.3693
0.491199832,0.158161494,1.3693
0.515802569,0.163545222,1.3693
0.55435269,0.171625372,1.3693
0.593725819,0.1797078,1.3693
0.624084142,0.185439689,1.3693
0.652801918,0.190834811,1.3693
0.679884615,0.195560953,1.3693
0.70286321,0.199611281,1.3693
0.729945908,0.204337424,1.3693
0.752112432,0.207721052,1.3693
0.77837759,0.212112706,1.3693
0.804648217,0.216172148,1.3693
0.82763228,0.219890266,1.3693
0.853079899,0.22394743,1.3693
0.881819549,0.228013708,1.3693
0.913845761,0.232421311,1.3693
0.940121856,0.236148542,1.3693
0.979533264,0.241905495,1.3693
0.998418695,0.244615588,1.3693
