Overall Pressure Ratio P3/Pi,W T**0.5/P Non-dimensional flow
0.928619529,5.698496072
0.896632997,6.473535354
0.856228956,7.222356902
0.827609428,7.703883277
0.785521886,8.346127946
0.74006734,8.908552189
0.696296296,9.310886644
0.640740741,9.713849607
0.583501684,10.01023569
0.526262626,10.14662177
0.463973064,10.20327722
0.319191919,10.21099888
