Rotor Outlet Mach,Rotor Inlet Angle
0,-59.31142644
0.057007717,-59.29480956
0.133159074,-59.31226662
0.198182723,-59.29546303
0.300124471,-59.30395818
0.371869554,-59.28771471
0.45815285,-59.28379388
0.504057755,-59.2987304
0.547771969,-59.29126214
0.603335823,-59.49589246
0.639706248,-59.76558999
0.678093104,-60.13545556
0.708737864,-60.46023152
0.739382624,-60.78500747
0.767836694,-61.08737864
0.796340553,-61.36753174
0.829250685,-61.68138536
0.864426189,-61.98431665
0.903236246,-62.1653286
0.940004979,-62.25728155
0.990341051,-62.29480956
