arccos(o/s),outlet angle
34.96033184,-29.43552518
38.22011769,-33.16520696
41.99452767,-37.50209273
44.65385625,-40.53786279
48.17076675,-44.61462537
51.34509427,-48.17064181
54.94783793,-52.33411212
58.55095641,-56.41062482
61.29611814,-59.53310261
64.55627881,-63.17582678
67.30069091,-66.47221979
69.96001949,-69.50798985
72.27564063,-72.28388661
74.84988568,-75.05903372
76.82292382,-77.31418434
78.88142031,-79.74300029
