s/c,alpha2/alpha2_sc0.75
0.991715839,0.907508247
0.966408029,0.919407146
0.943525531,0.928495098
0.928439344,0.93582679
0.90604005,0.943971565
0.880239744,0.954908702
0.85881615,0.963072062
0.842261766,0.969423408
0.810124053,0.981192213
0.777503136,0.993904196
0.758021651,1.000199786
0.733187753,1.009250569
0.717609069,1.015620499
0.692765878,1.022766343
0.672317985,1.030948288
0.649421549,1.037178832
0.630911118,1.042540538
0.614830646,1.046043767
0.591455652,1.054169958
0.570510617,1.060437671
0.547609534,1.065715746
0.530074804,1.071096037
0.513023277,1.075533151
0.473075315,1.086200808
0.449217117,1.095270176
0.435580542,1.099772337
