WT**0.5 / A2P1,Y,gamma
0.000820552,0.390572926,1.333
0.018894605,0.387500429,1.333
0.034514623,0.384586834,1.333
0.051766219,0.381676288,1.333
0.068188689,0.379091169,1.333
0.08379537,0.376504525,1.333
0.101040297,0.373757455,1.333
0.11664031,0.371334286,1.333
0.131424534,0.368909593,1.333
0.147024547,0.366486425,1.333
0.165894383,0.363905878,1.333
0.183132641,0.361322283,1.333
0.20118002,0.358903687,1.333
0.21841161,0.356483567,1.333
0.235636531,0.354226922,1.333
0.250394081,0.35245613,1.333
0.279929186,0.348424121,1.333
0.306167794,0.345203391,1.333
0.323386047,0.343110222,1.333
0.342249214,0.34069315,1.333
0.366836239,0.337959798,1.333
0.387330983,0.335545775,1.333
0.411095551,0.332974374,1.333
0.429945381,0.330884253,1.333
0.447156965,0.328954558,1.333
0.470099076,0.326545108,1.333
0.497133467,0.323816328,1.333
0.520891366,0.321408402,1.333
0.54300435,0.319324378,1.333
0.569209615,0.316921025,1.333
0.612619796,0.312751453,1.333
0.592145057,0.31467505,1.333
0.635555238,0.310505478,1.333
0.661760503,0.308102124,1.333
0.69205138,0.305542917,1.333
0.714980153,0.303460417,1.333
0.739533835,0.301544441,1.333
0.764094186,0.29946499,1.333
0.786187165,0.297871392,1.333
0.809109269,0.295952367,1.333
0.83447874,0.294037916,1.333
0.85575593,0.292442793,1.333
0.877039789,0.290684195,1.333
0.900771014,0.288930171,1.333
0.923679782,0.287338097,1.333
0.947411006,0.285584072,1.333
0.972780477,0.28366962,1.333
0.997320822,0.282080594,1.333
0.000587152,0.39629456,1.3963
0.017845416,0.393220539,1.3963
0.034281223,0.390308469,1.3963
0.05071703,0.387396399,1.3963
0.06633038,0.38464628,1.3963
0.084404433,0.381573783,1.3963
0.102478486,0.378501286,1.3963
0.124644819,0.37510946,1.3963
0.141889746,0.372362389,1.3963
0.159943793,0.369780318,1.3963
0.178011178,0.366871297,1.3963
0.196887682,0.364127274,1.3963
0.217402432,0.361222826,1.3963
0.241200343,0.357834048,1.3963
0.260892636,0.35509155,1.3963
0.28057826,0.352512527,1.3963
0.301908799,0.349609603,1.3963
0.324055127,0.346708202,1.3963
0.343727414,0.34445613,1.3963
0.365860405,0.34188168,1.3963
0.387993395,0.339307231,1.3963
0.407665682,0.337055159,1.3963
0.429792004,0.334644184,1.3963
0.454379029,0.331910832,1.3963
0.483058334,0.32885815,1.3963
0.513375885,0.325645041,1.3963
0.537949573,0.32323864,1.3963
0.561700803,0.320994189,1.3963
0.584636245,0.318748214,1.3963
0.608387476,0.316503763,1.3963
0.633776952,0.314098885,1.3963
0.657528183,0.311854435,1.3963
0.679641167,0.309770411,1.3963
0.705017307,0.307692484,1.3963
0.734499063,0.304968277,1.3963
0.763151694,0.302569496,1.3963
0.786889588,0.300651996,1.3963
0.811456607,0.298409069,1.3963
0.831918008,0.296812423,1.3963
0.850747833,0.295212727,1.3963
0.873663269,0.293457178,1.3963
0.894940459,0.291862056,1.3963
0.921948176,0.289787177,1.3963
0.953048172,0.287392969,1.3963
0.998056588,0.284043822,1.3963
