Outlet Mach,Rotor Outlet Angle
-0.007486978,-47.283497
0.055569645,-47.26819606
0.141124933,-47.26658213
0.210909777,-47.27437932
0.280707197,-47.27100473
0.349379054,-47.26750438
0.423666146,-47.27580461
0.490074304,-47.28322452
0.546377556,-47.26716901
0.590136136,-47.39496327
0.622551064,-47.59970237
0.64821262,-47.8036869
0.682765487,-48.10922353
0.709451996,-48.40270806
0.751745459,-48.83201459
0.787348432,-49.20470766
0.825202528,-49.57765225
0.868659282,-49.97356921
0.905589034,-50.16763957
0.950498328,-50.27321603
1.0022113,-50.33485993
