pitch_to_chord,Loss Coefficient Yp,Outlet Angle
1.136984432,0.017747069,-40
1.114569991,0.017572172,-40
1.071765595,0.017626584,-40
0.985130741,0.017940103,-40
0.919891175,0.018429815,-40
0.867914408,0.018495887,-40
0.83222335,0.019151426,-40
0.748576857,0.021495045,-40
0.679170859,0.02463412,-40
0.635278216,0.026723814,-40
0.591371753,0.029220305,-40
0.547444562,0.032326992,-40
0.517806232,0.034805346,-40
0.478947164,0.03871915,-40
0.448255134,0.042215793,-40
0.421646622,0.045503854,-40
0.394005139,0.049200009,-40
0.364311532,0.053305551,-40
0.339734416,0.056794421,-40
0.295710492,0.062748688,-40
1.115402587,0.023062639,-50
1.074677952,0.021894069,-50
1.024780947,0.020737158,-50
0.983016432,0.020180079,-50
0.925936994,0.020456027,-50
0.883118779,0.020917237,-50
0.841319716,0.021377151,-50
0.792379677,0.022049533,-50
0.750559886,0.023119642,-50
0.709752337,0.024391855,-50
0.667897998,0.026478958,-50
0.636249001,0.028146309,-50
0.596426057,0.030434219,-50
0.566787727,0.032912573,-50
0.530008421,0.035603394,-50
0.496272753,0.038697126,-50
0.465587632,0.04199037,-50
0.436940816,0.045281023,-50
0.408280181,0.048978473,-50
0.380638698,0.052674627,-50
0.354030186,0.055962689,-50
0.298733401,0.063761795,-50
0.32432967,0.06027163,-50
1.098757584,0.0330499,-60
1.047917431,0.0296569,-60
0.99705655,0.026874096,-60
0.939047784,0.024507158,-60
0.896277935,0.023544577,-60
0.845334139,0.023202557,-60
0.770901475,0.024314123,-60
0.72295986,0.025595405,-60
0.689286377,0.026858549,-60
0.659689504,0.028116512,-60
0.632110207,0.029982078,-60
0.592280353,0.032473388,-60
0.567765422,0.034131669,-60
0.536088787,0.036612614,-60
0.51257228,0.038879796,-60
0.470655755,0.042797487,-60
0.449163734,0.045468875,-60
0.429716926,0.047934273,-60
0.403115324,0.051018936,-60
0.381616393,0.053893723,-60
0.351929696,0.057795867,-60
0.330423855,0.060874053,-60
0.296626001,0.065798372,-60
1.106558418,0.043412865,-65
1.077085915,0.041009652,-65
1.043543713,0.038408222,-65
1.00489884,0.036016669,-65
0.962184268,0.0334269,-65
0.91639151,0.031451212,-65
0.855304558,0.029698357,-65
0.797233606,0.029162006,-65
0.747295144,0.029225487,-65
0.697315225,0.03050936,-65
0.654462462,0.031987563,-65
0.625877831,0.033447628,-65
0.597286291,0.035111092,-65
0.571752208,0.036770669,-65
0.543153758,0.038637532,-65
0.518625008,0.04070261,-65
0.496148382,0.042358301,-65
0.463438775,0.045247339,-65
0.445018029,0.047508043,-65
0.424558979,0.049771339,-65
0.403066957,0.052442727,-65
0.375439294,0.055732084,-65
0.294560059,0.066614557,-65
0.32117548,0.063123097,-65
0.341648349,0.060453005,-65
1.101020448,0.056436854,-70
1.066472913,0.053429922,-70
1.039031805,0.051227517,-70
1.007520998,0.048826895,-70
0.971933582,0.046431456,-70
0.940408956,0.044437631,-70
0.903788569,0.042450284,-70
0.868159696,0.041275236,-70
0.814227539,0.038903116,-70
0.7714646,0.037737136,-70
0.734795846,0.03717358,-70
0.698120182,0.036813422,-70
0.65224451,0.037278518,-70
0.619597089,0.038336968,-70
0.57880336,0.039202384,-70
0.55021182,0.040865848,-70
0.497098439,0.044390992,-70
0.464388833,0.047280029,-70
0.443936692,0.049339926,-70
0.409154233,0.053248548,-70
0.385623907,0.055922527,-70
0.362086671,0.058799905,-70
0.335457431,0.062698163,-70
0.299607454,0.06803187,-70
0.937942262,0.057050936,-75
0.898278237,0.054660678,-75
0.863696154,0.05267074,-75
0.825030553,0.050889383,-75
0.787377194,0.049310129,-75
0.753779716,0.048335888,-75
0.719156176,0.047566342,-75
0.687583184,0.046996308,-75
0.652945825,0.046633559,-75
0.620339861,0.046471617,-75
0.589744564,0.047120679,-75
0.552015201,0.047778809,-75
0.525489603,0.048626088,-75
0.49588582,0.050087448,-75
0.474449075,0.051131648,-75
0.446869777,0.052997215,-75
0.421328785,0.05486019,-75
0.413147928,0.055684149,-75
0.948113057,0.057648177,-75
0.808233541,0.065351413,-80
0.789944076,0.063747544,-80
0.765532788,0.062354846,-80
0.732961372,0.061175912,-80
0.695314922,0.059393259,-80
0.661724354,0.05821562,-80
0.63016518,0.057238788,-80
0.596553883,0.056671345,-80
0.55883143,0.057126077,-80
0.522121219,0.057782912,-80
0.488461555,0.058639259,-80
0.455814134,0.059697709,-80
0.430300779,0.06074709,-80
0.393542202,0.062827716,-80
