# x,rtheta,r
221.122000,-0.365900,10.443000
221.121432,-0.367819,10.443000
221.121296,-0.369873,10.443000
221.121627,-0.371917,10.443000
221.122457,-0.373802,10.443000
221.123781,-0.375398,10.443000
221.125473,-0.376618,10.443000
221.127388,-0.377385,10.443000
221.129382,-0.377620,10.443000
221.131340,-0.377295,10.443000
221.133212,-0.376483,10.443000
221.134956,-0.375267,10.443000
221.136442,-0.373747,10.443000
221.137703,-0.372167,10.443000
221.138965,-0.370589,10.443000
221.140228,-0.369011,10.443000
221.141490,-0.367434,10.443000
221.142753,-0.365858,10.443000
221.144016,-0.364283,10.443000
221.145280,-0.362708,10.443000
221.146543,-0.361134,10.443000
221.147806,-0.359561,10.443000
221.149070,-0.357988,10.443000
221.150334,-0.356416,10.443000
221.151598,-0.354844,10.443000
221.152862,-0.353274,10.443000
221.154128,-0.351704,10.443000
221.155395,-0.350135,10.443000
221.156663,-0.348566,10.443000
221.157932,-0.346999,10.443000
221.159203,-0.345433,10.443000
221.160477,-0.343867,10.443000
221.161752,-0.342302,10.443000
221.163030,-0.340738,10.443000
221.164310,-0.339176,10.443000
221.165593,-0.337614,10.443000
221.166880,-0.336053,10.443000
221.168169,-0.334493,10.443000
221.169462,-0.332935,10.443000
221.170756,-0.331377,10.443000
221.172054,-0.329820,10.443000
221.173354,-0.328264,10.443000
221.174655,-0.326709,10.443000
221.175959,-0.325155,10.443000
221.177264,-0.323601,10.443000
221.178571,-0.322049,10.443000
221.179879,-0.320497,10.443000
221.181188,-0.318945,10.443000
221.182498,-0.317395,10.443000
221.183808,-0.315845,10.443000
221.185120,-0.314295,10.443000
221.186431,-0.312746,10.443000
221.187742,-0.311198,10.443000
221.189054,-0.309650,10.443000
221.190365,-0.308102,10.443000
221.191676,-0.306555,10.443000
221.192986,-0.305009,10.443000
221.194295,-0.303462,10.443000
221.195604,-0.301916,10.443000
221.196913,-0.300371,10.443000
221.198222,-0.298826,10.443000
221.199530,-0.297282,10.443000
221.200839,-0.295738,10.443000
221.202147,-0.294195,10.443000
221.203456,-0.292652,10.443000
221.204764,-0.291110,10.443000
221.206073,-0.289569,10.443000
221.207382,-0.288028,10.443000
221.208691,-0.286488,10.443000
221.210001,-0.284948,10.443000
221.211311,-0.283410,10.443000
221.212622,-0.281872,10.443000
221.213934,-0.280334,10.443000
221.215246,-0.278798,10.443000
221.216559,-0.277263,10.443000
221.217872,-0.275728,10.443000
221.219187,-0.274194,10.443000
221.220503,-0.272661,10.443000
221.221820,-0.271129,10.443000
221.223138,-0.269598,10.443000
221.224457,-0.268067,10.443000
221.225777,-0.266538,10.443000
221.227098,-0.265009,10.443000
221.228420,-0.263482,10.443000
221.229743,-0.261955,10.443000
221.231067,-0.260430,10.443000
221.232392,-0.258905,10.443000
221.233717,-0.257381,10.443000
221.235044,-0.255858,10.443000
221.236371,-0.254336,10.443000
221.237698,-0.252814,10.443000
221.239026,-0.251294,10.443000
221.240355,-0.249775,10.443000
221.241684,-0.248256,10.443000
221.243014,-0.246738,10.443000
221.244344,-0.245221,10.443000
221.245674,-0.243705,10.443000
221.247005,-0.242190,10.443000
221.248336,-0.240676,10.443000
221.249667,-0.239162,10.443000
221.250998,-0.237650,10.443000
221.252330,-0.236138,10.443000
221.253661,-0.234627,10.443000
221.254993,-0.233117,10.443000
221.256324,-0.231608,10.443000
221.257655,-0.230100,10.443000
221.258986,-0.228592,10.443000
221.260317,-0.227085,10.443000
221.261648,-0.225579,10.443000
221.262979,-0.224074,10.443000
221.264309,-0.222570,10.443000
221.265640,-0.221066,10.443000
221.266971,-0.219564,10.443000
221.268302,-0.218062,10.443000
221.269634,-0.216561,10.443000
221.270966,-0.215060,10.443000
221.272298,-0.213561,10.443000
221.273631,-0.212062,10.443000
221.274965,-0.210564,10.443000
221.276299,-0.209067,10.443000
221.277635,-0.207570,10.443000
221.278971,-0.206074,10.443000
221.280309,-0.204579,10.443000
221.281648,-0.203085,10.443000
221.282987,-0.201591,10.443000
221.284329,-0.200098,10.443000
221.285671,-0.198606,10.443000
221.287016,-0.197115,10.443000
221.288362,-0.195624,10.443000
221.289709,-0.194134,10.443000
221.291058,-0.192645,10.443000
221.292410,-0.191156,10.443000
221.293763,-0.189668,10.443000
221.295118,-0.188180,10.443000
221.296476,-0.186694,10.443000
221.297835,-0.185208,10.443000
221.299197,-0.183722,10.443000
221.300562,-0.182238,10.443000
221.301928,-0.180753,10.443000
221.303297,-0.179270,10.443000
221.304668,-0.177787,10.443000
221.306041,-0.176305,10.443000
221.307415,-0.174824,10.443000
221.308792,-0.173343,10.443000
221.310170,-0.171863,10.443000
221.311550,-0.170384,10.443000
221.312931,-0.168905,10.443000
221.314314,-0.167427,10.443000
221.315698,-0.165950,10.443000
221.317083,-0.164474,10.443000
221.318470,-0.162998,10.443000
221.319858,-0.161523,10.443000
221.321246,-0.160049,10.443000
221.322636,-0.158575,10.443000
221.324027,-0.157102,10.443000
221.325418,-0.155630,10.443000
221.326810,-0.154159,10.443000
