# x,rtheta,r
228.618000,-0.293800,10.749000
228.617276,-0.295615,10.749000
228.617220,-0.297537,10.749000
228.617682,-0.299398,10.749000
228.618562,-0.301053,10.749000
228.619853,-0.302395,10.749000
228.621545,-0.303323,10.749000
228.623510,-0.303776,10.749000
228.625524,-0.303721,10.749000
228.627376,-0.303144,10.749000
228.628956,-0.302115,10.749000
228.630224,-0.300740,10.749000
228.631476,-0.299264,10.749000
228.632705,-0.297790,10.749000
228.633913,-0.296317,10.749000
228.635106,-0.294845,10.749000
228.636285,-0.293374,10.749000
228.637455,-0.291905,10.749000
228.638618,-0.290437,10.749000
228.639778,-0.288969,10.749000
228.640939,-0.287503,10.749000
228.642103,-0.286038,10.749000
228.643272,-0.284573,10.749000
228.644445,-0.283109,10.749000
228.645622,-0.281647,10.749000
228.646803,-0.280186,10.749000
228.647987,-0.278726,10.749000
228.649175,-0.277268,10.749000
228.650366,-0.275811,10.749000
228.651559,-0.274356,10.749000
228.652754,-0.272902,10.749000
228.653952,-0.271451,10.749000
228.655152,-0.270001,10.749000
228.656353,-0.268553,10.749000
228.657556,-0.267107,10.749000
228.658760,-0.265664,10.749000
228.659965,-0.264223,10.749000
228.661171,-0.262784,10.749000
228.662377,-0.261347,10.749000
228.663585,-0.259912,10.749000
228.664794,-0.258479,10.749000
228.666003,-0.257049,10.749000
228.667213,-0.255620,10.749000
228.668424,-0.254193,10.749000
228.669636,-0.252768,10.749000
228.670849,-0.251344,10.749000
228.672062,-0.249923,10.749000
228.673276,-0.248503,10.749000
228.674491,-0.247084,10.749000
228.675706,-0.245668,10.749000
228.676922,-0.244252,10.749000
228.678139,-0.242839,10.749000
228.679356,-0.241426,10.749000
228.680574,-0.240015,10.749000
228.681792,-0.238606,10.749000
228.683011,-0.237197,10.749000
228.684231,-0.235790,10.749000
228.685452,-0.234385,10.749000
228.686674,-0.232981,10.749000
228.687897,-0.231578,10.749000
228.689121,-0.230177,10.749000
228.690347,-0.228777,10.749000
228.691575,-0.227378,10.749000
228.692805,-0.225981,10.749000
228.694037,-0.224586,10.749000
228.695271,-0.223192,10.749000
228.696508,-0.221800,10.749000
228.697747,-0.220410,10.749000
228.698989,-0.219021,10.749000
228.700234,-0.217633,10.749000
228.701482,-0.216248,10.749000
228.702734,-0.214864,10.749000
228.703988,-0.213482,10.749000
228.705247,-0.212101,10.749000
228.706509,-0.210723,10.749000
228.707775,-0.209346,10.749000
228.709045,-0.207971,10.749000
228.710319,-0.206598,10.749000
228.711598,-0.205227,10.749000
228.712881,-0.203858,10.749000
228.714169,-0.202491,10.749000
228.715460,-0.201125,10.749000
228.716755,-0.199761,10.749000
228.718054,-0.198400,10.749000
228.719356,-0.197040,10.749000
228.720661,-0.195682,10.749000
228.721970,-0.194326,10.749000
228.723282,-0.192972,10.749000
228.724597,-0.191619,10.749000
228.725914,-0.190269,10.749000
228.727234,-0.188920,10.749000
228.728556,-0.187573,10.749000
228.729880,-0.186228,10.749000
228.731207,-0.184885,10.749000
228.732535,-0.183544,10.749000
228.733865,-0.182204,10.749000
228.735197,-0.180867,10.749000
228.736530,-0.179531,10.749000
228.737865,-0.178197,10.749000
228.739200,-0.176865,10.749000
228.740536,-0.175534,10.749000
228.741873,-0.174206,10.749000
228.743211,-0.172879,10.749000
228.744549,-0.171554,10.749000
228.745888,-0.170231,10.749000
228.747226,-0.168910,10.749000
228.748565,-0.167590,10.749000
228.749903,-0.166273,10.749000
228.751242,-0.164957,10.749000
228.752580,-0.163643,10.749000
228.753919,-0.162330,10.749000
228.755258,-0.161020,10.749000
228.756598,-0.159711,10.749000
228.757937,-0.158405,10.749000
228.759278,-0.157100,10.749000
228.760619,-0.155797,10.749000
228.761960,-0.154496,10.749000
228.763303,-0.153197,10.749000
228.764646,-0.151900,10.749000
228.765991,-0.150605,10.749000
228.767336,-0.149311,10.749000
228.768683,-0.148020,10.749000
228.770031,-0.146731,10.749000
228.771380,-0.145443,10.749000
228.772731,-0.144158,10.749000
228.774083,-0.142875,10.749000
228.775437,-0.141593,10.749000
228.776793,-0.140314,10.749000
228.778150,-0.139037,10.749000
228.779509,-0.137761,10.749000
228.780871,-0.136488,10.749000
228.782234,-0.135217,10.749000
228.783599,-0.133948,10.749000
228.784967,-0.132681,10.749000
228.786337,-0.131416,10.749000
228.787710,-0.130153,10.749000
228.789085,-0.128893,10.749000
228.790462,-0.127634,10.749000
228.791842,-0.126378,10.749000
228.793224,-0.125123,10.749000
