 EEE-HPT-1-UP.DATA                                                              
          NK          NJ        NBLADE    UNITS
          41          33          76           1
       X           R           RT
  6345.58301   325.47696     8.51041
  6345.58301   325.47824     8.51047
  6345.58252   325.49359     8.51120
  6345.58008   325.53708     8.51327
  6345.57568   325.62274     8.51735
  6345.56885   325.76468     8.52414
  6345.55811   325.97693     8.53440
  6345.54297   326.27356     8.54916
  6345.52295   326.66864     8.57029
  6345.49805   327.17627     8.60022
  6345.46582   327.82452     8.64185
  6345.42871   328.58533     8.69582
  6345.38379   329.51492     8.77042
  6345.29150   331.53430     8.95995
  6345.20801   333.55402     9.18345
  6345.13574   335.57416     9.44128
  6345.09375   337.59515     9.73855
  6345.06494   339.61639    10.06258
  6345.04883   341.63779    10.35057
  6345.04346   343.65924    10.71041
  6345.04883   345.68066    11.08186
  6345.07227   347.70197    11.49717
  6345.10156   349.72324    11.92073
  6345.13330   351.74442    12.39942
  6345.16357   353.76562    12.80631
  6345.18945   355.78693    13.19368
  6345.18701   357.80835    13.53375
  6345.17822   359.82980    13.85225
  6345.16406   361.85120    14.13246
  6345.15674   362.78189    14.24812
  6345.15039   363.54361    14.33438
  6345.14453   364.19266    14.40250
  6345.13965   364.70087    14.45249
  6345.13623   365.09647    14.48865
  6345.13330   365.39343    14.51438
  6345.13184   365.60596    14.53242
  6345.12988   365.74805    14.54439
  6345.12939   365.83380    14.55159
  6345.12891   365.87732    14.55524
  6345.12891   365.89267    14.55653
  6345.12891   365.89395    14.55664
