 EEE-HPT-2-DW.DATA                                                              
          NK          NJ        NBLADE    UNITS
          41          33          48           1
       X           R           RT
  6457.67285   311.63440    32.38668
  6457.67285   311.63568    32.38681
  6457.67334   311.66113    32.38945
  6457.67529   311.73502    32.39709
  6457.67822   311.88147    32.41224
  6457.68311   312.12476    32.43743
  6457.69092   312.48901    32.47522
  6457.70166   312.99844    32.52834
  6457.71631   313.67731    32.60023
  6457.73486   314.54977    32.69443
  6457.75879   315.66422    32.81516
  6457.78809   316.97223    32.95828
  6457.82373   318.57059    33.14002
  6457.90771   322.03851    33.54759
  6458.00146   325.50616    33.98278
  6458.10889   328.97342    34.45349
  6458.25781   332.43915    35.01632
  6458.41992   335.90427    35.61118
  6458.59375   339.36887    36.19605
  6458.77490   342.83304    36.84774
  6458.96143   346.29697    37.50899
  6459.14844   349.76083    38.16640
  6459.33496   353.22476    38.82041
  6459.51904   356.68878    39.46997
  6459.69873   360.15305    40.10821
  6459.87012   363.61774    40.73141
  6460.01514   367.08365    41.29562
  6460.15186   370.54987    41.84328
  6460.28369   374.01633    42.37662
  6460.34277   375.61398    42.61829
  6460.39062   376.92145    42.81337
  6460.43115   378.03540    42.97809
  6460.46240   378.90747    43.10641
  6460.48730   379.58603    43.20617
  6460.50537   380.09528    43.28106
  6460.51855   380.45938    43.33458
  6460.52783   380.70255    43.37033
  6460.53320   380.84897    43.39185
  6460.53564   380.92279    43.40271
  6460.53662   380.94824    43.40645
  6460.53662   380.94952    43.40664
