 EEE-HPT-3-DW.DATA                                                              
          NK          NJ        NBLADE    UNITS
          41          33          70           1
       X           R           RT
  6553.19971   318.08701   -35.19888
  6553.19971   318.08832   -35.19888
  6553.19971   318.11792   -35.19880
  6553.19971   318.20413   -35.19856
  6553.19971   318.37527   -35.19810
  6553.19971   318.65958   -35.19738
  6553.19971   319.08542   -35.19643
  6553.19971   319.68103   -35.19560
  6553.19971   320.47476   -35.19629
  6553.19971   321.49490   -35.20062
  6553.19971   322.79803   -35.21062
  6553.19971   324.32761   -35.22843
  6553.19971   326.19675   -35.25841
  6553.19971   330.25165   -35.35374
  6553.19971   334.30652   -35.48695
  6553.19971   338.36139   -35.65168
  6553.19971   342.41629   -35.85601
  6553.19971   346.47116   -36.08413
  6553.19971   350.52603   -36.32872
  6553.19971   354.58093   -36.58468
  6553.19971   358.63580   -36.84573
  6553.19971   362.69067   -37.13592
  6553.19971   366.74554   -37.42878
  6553.19971   370.80042   -37.71131
  6553.19971   374.85532   -37.97903
  6553.19971   378.91019   -38.22884
  6553.19971   382.96506   -38.44761
  6553.19971   387.01996   -38.64059
  6553.19971   391.07483   -38.80523
  6553.19971   392.94376   -38.86944
  6553.19971   394.47311   -38.91665
  6553.19971   395.77609   -38.95284
  6553.19971   396.79617   -38.97842
  6553.19971   397.58987   -38.99613
  6553.19971   398.18552   -39.00831
  6553.19971   398.61139   -39.01672
  6553.19971   398.89581   -39.02227
  6553.19971   399.06705   -39.02559
  6553.19971   399.15338   -39.02726
  6553.19971   399.18314   -39.02784
  6553.19971   399.18460   -39.02787
