# x,r,theta
247.000080,14.740816,0.000000
247.011324,14.741243,0.000000
247.022569,14.741650,0.000000
247.033814,14.742037,0.000000
247.045060,14.742404,0.000000
247.056307,14.742750,0.000000
247.067554,14.743076,0.000000
247.078802,14.743381,0.000000
247.090051,14.743666,0.000000
247.101300,14.743930,0.000000
247.112549,14.744173,0.000000
247.123799,14.744396,0.000000
247.135049,14.744598,0.000000
247.146299,14.744779,0.000000
247.157550,14.744940,0.000000
247.168801,14.745080,0.000000
247.180052,14.745199,0.000000
247.191303,14.745297,0.000000
247.202554,14.745374,0.000000
247.213805,14.745431,0.000000
247.225057,14.745466,0.000000
247.236309,14.745481,0.000000
247.247561,14.745475,0.000000
247.258814,14.745447,0.000000
247.270066,14.745399,0.000000
247.281319,14.745329,0.000000
247.292570,14.745238,0.000000
247.303822,14.745126,0.000000
247.315073,14.744992,0.000000
247.326323,14.744838,0.000000
247.337573,14.744662,0.000000
247.348823,14.744464,0.000000
247.360072,14.744245,0.000000
247.371321,14.744005,0.000000
247.382570,14.743744,0.000000
247.393818,14.743460,0.000000
247.405065,14.743156,0.000000
247.416312,14.742829,0.000000
247.427559,14.742482,0.000000
247.438805,14.742112,0.000000
247.450050,14.741721,0.000000
247.461294,14.741308,0.000000
247.472538,14.740873,0.000000
247.483781,14.740417,0.000000
247.495023,14.739939,0.000000
247.506265,14.739438,0.000000
247.517505,14.738916,0.000000
247.528745,14.738372,0.000000
247.539983,14.737807,0.000000
247.551221,14.737219,0.000000
247.562456,14.736609,0.000000
247.573691,14.735978,0.000000
247.584923,14.735325,0.000000
247.596155,14.734649,0.000000
247.607385,14.733952,0.000000
247.618613,14.733232,0.000000
247.629841,14.732491,0.000000
247.641067,14.731727,0.000000
247.652292,14.730941,0.000000
247.663516,14.730132,0.000000
247.674738,14.729302,0.000000
247.685958,14.728449,0.000000
247.697177,14.727575,0.000000
247.708394,14.726678,0.000000
247.719609,14.725758,0.000000
247.730822,14.724816,0.000000
247.742033,14.723852,0.000000
247.753242,14.722865,0.000000
247.764449,14.721856,0.000000
247.775654,14.720825,0.000000
247.786857,14.719772,0.000000
247.798058,14.718696,0.000000
