# x,rtheta,r
248.277000,-1.774600,12.371100
248.274905,-1.779160,12.371100
248.272670,-1.783883,12.371100
248.270513,-1.788725,12.371100
248.268615,-1.793647,12.371100
248.266977,-1.798641,12.371100
248.265546,-1.803710,12.371100
248.264280,-1.808852,12.371100
248.263189,-1.814058,12.371100
248.262295,-1.819317,12.371100
248.261621,-1.824617,12.371100
248.261189,-1.829946,12.371100
248.261052,-1.835292,12.371100
248.261825,-1.840605,12.371100
248.262000,-1.845865,12.371100
248.262601,-1.851113,12.371100
248.263130,-1.856353,12.371100
248.263988,-1.861533,12.371100
248.265059,-1.866736,12.371100
248.266068,-1.871932,12.371100
248.267043,-1.877168,12.371100
248.268049,-1.882468,12.371100
248.269226,-1.887639,12.371100
248.270489,-1.892655,12.371100
248.271858,-1.897655,12.371100
248.273564,-1.902729,12.371100
248.275020,-1.907775,12.371100
248.276869,-1.912781,12.371100
248.278810,-1.917755,12.371100
248.280764,-1.922692,12.371100
248.282776,-1.927589,12.371100
248.284865,-1.932445,12.371100
248.287051,-1.937260,12.371100
248.289334,-1.942031,12.371100
248.291711,-1.946756,12.371100
248.294180,-1.951435,12.371100
248.296738,-1.956066,12.371100
248.299382,-1.960646,12.371100
248.302108,-1.965174,12.371100
248.304914,-1.969649,12.371100
248.307796,-1.974068,12.371100
248.310770,-1.978430,12.371100
248.313889,-1.982731,12.371100
248.317126,-1.986972,12.371100
248.320469,-1.991148,12.371100
248.323907,-1.995258,12.371100
248.327429,-1.999299,12.371100
248.331024,-2.003269,12.371100
248.334681,-2.007164,12.371100
248.338389,-2.010983,12.371100
248.342163,-2.014723,12.371100
248.346072,-2.018376,12.371100
248.349996,-2.021945,12.371100
248.353947,-2.025426,12.371100
248.357965,-2.028816,12.371100
248.362088,-2.032113,12.371100
248.366355,-2.035313,12.371100
248.370769,-2.038413,12.371100
248.375192,-2.041411,12.371100
248.379531,-2.044303,12.371100
248.383838,-2.047089,12.371100
248.388208,-2.049772,12.371100
248.392756,-2.052363,12.371100
248.397575,-2.054871,12.371100
248.402537,-2.057289,12.371100
248.407392,-2.059603,12.371100
248.412069,-2.061810,12.371100
248.416789,-2.063921,12.371100
248.421720,-2.065944,12.371100
248.426713,-2.067865,12.371100
248.431547,-2.069663,12.371100
248.436323,-2.071329,12.371100
248.441564,-2.072874,12.371100
248.446840,-2.074282,12.371100
248.451777,-2.075539,12.371100
248.456868,-2.076660,12.371100
248.462195,-2.077661,12.371100
248.467516,-2.078555,12.371100
248.472743,-2.079355,12.371100
248.477903,-2.080064,12.371100
248.483058,-2.080681,12.371100
248.488271,-2.081207,12.371100
248.493548,-2.081639,12.371100
248.498818,-2.081975,12.371100
248.504003,-2.082215,12.371100
248.509159,-2.082355,12.371100
248.514585,-2.082396,12.371100
248.520131,-2.082333,12.371100
248.525493,-2.082168,12.371100
248.530570,-2.081903,12.371100
248.535659,-2.081548,12.371100
248.541058,-2.081106,12.371100
248.546479,-2.080582,12.371100
248.551654,-2.079978,12.371100
248.556738,-2.079296,12.371100
248.561999,-2.078536,12.371100
248.567414,-2.077698,12.371100
248.572783,-2.076780,12.371100
248.577947,-2.075782,12.371100
248.582975,-2.074706,12.371100
248.587985,-2.073555,12.371100
248.593011,-2.072330,12.371100
248.598065,-2.071035,12.371100
248.603167,-2.069672,12.371100
248.608356,-2.068244,12.371100
248.613581,-2.066751,12.371100
248.618764,-2.065191,12.371100
248.623822,-2.063564,12.371100
248.628696,-2.061869,12.371100
248.633494,-2.060108,12.371100
248.638353,-2.058285,12.371100
248.643263,-2.056400,12.371100
248.648195,-2.054456,12.371100
248.653120,-2.052453,12.371100
248.658032,-2.050393,12.371100
248.662941,-2.048276,12.371100
248.667811,-2.046103,12.371100
248.672601,-2.043872,12.371100
248.677265,-2.041586,12.371100
248.681961,-2.039245,12.371100
248.686831,-2.036851,12.371100
248.691649,-2.034404,12.371100
248.696413,-2.031904,12.371100
248.701123,-2.029354,12.371100
248.705779,-2.026754,12.371100
248.710380,-2.024104,12.371100
248.714923,-2.021407,12.371100
248.719396,-2.018662,12.371100
248.723790,-2.015871,12.371100
248.728092,-2.013033,12.371100
248.732335,-2.010151,12.371100
248.736780,-2.007228,12.371100
248.741224,-2.004261,12.371100
248.745615,-2.001250,12.371100
248.749916,-1.998196,12.371100
248.754092,-1.995098,12.371100
248.758144,-1.991957,12.371100
248.762383,-1.988775,12.371100
248.766641,-1.985554,12.371100
248.770898,-1.982295,12.371100
248.775154,-1.979000,12.371100
248.779409,-1.975669,12.371100
