s_c,Yp,alpha2
0.995800775,0.075657143,40
0.939206681,0.072228571,40
0.890886967,0.070171429,40
0.852569043,0.068457143,40
0.770827319,0.066742857,40
0.814212944,0.067428571,40
0.727403519,0.066742857,40
0.690603042,0.067771429,40
0.613547271,0.071885714,40
0.583312854,0.074971429,40
0.653783477,0.069142857,40
0.553040262,0.078742857,40
0.524418729,0.082857143,40
0.494050701,0.088342857,40
0.46026603,0.0952,40
0.423083806,0.103085714,40
0.392582165,0.110971429,40
0.358663883,0.120228571,40
0.331426186,0.129485714,40
0.298987176,0.142171429,40
0.99503728,0.089371429,50
0.960135998,0.086285714,50
0.926866687,0.083885714,50
0.888606024,0.081142857,50
0.845315837,0.078742857,50
0.800336415,0.076685714,50
0.76031017,0.075657143,50
0.726945422,0.074971429,50
0.683483448,0.075657143,50
0.648353117,0.076685714,50
0.608135998,0.079085714,50
0.577939755,0.081485714,50
0.534210558,0.086971429,50
0.502210558,0.091771429,50
0.470172383,0.097257143,50
0.443182821,0.102057143,50
0.399224575,0.111657143,50
0.370431256,0.118857143,50
0.336455711,0.129142857,50
0.298987176,0.142171429,50
0.999226961,0.104114286,55
0.966033999,0.100342857,55
0.916177751,0.095885714,55
0.874595884,0.0928,55
0.839656427,0.0904,55
0.791374888,0.087657143,55
0.749697584,0.086285714,55
0.701301521,0.0856,55
0.646148524,0.086285714,55
0.597618849,0.088,55
0.543926036,0.092457143,55
0.501866985,0.097942857,55
0.458080525,0.104457143,55
0.426023263,0.110285714,55
0.398995526,0.115771429,55
0.373637936,0.121257143,55
0.346552938,0.127771429,55
0.295608709,0.142857143,55
0.996373397,0.125371429,60
0.966482553,0.122285714,60
0.931581271,0.1192,60
0.881705935,0.115085714,60
0.826820161,0.110971429,60
0.790210558,0.108571429,60
0.753581867,0.106514286,60
0.708602446,0.104457143,60
0.673605726,0.103085714,60
0.620199225,0.1024,60
0.570075753,0.102742857,60
0.534907247,0.104457143,60
0.491349836,0.106857143,60
0.445950492,0.112342857,60
0.403853266,0.118514286,60
0.361641515,0.126742857,60
0.336169401,0.134285714,60
0.298681778,0.147657143,60
0.994846406,0.1528,65
0.968334029,0.149028571,65
0.936830301,0.144914286,65
0.905326573,0.1408,65
0.870482553,0.136685714,65
0.828977035,0.132228571,65
0.789103489,0.128457143,65
0.752551148,0.125028571,65
0.715960632,0.122285714,65
0.679351029,0.119885714,65
0.641071279,0.117485714,65
0.60271518,0.116457143,65
0.560980614,0.116114286,65
0.52416105,0.117485714,65
0.487284223,0.119885714,65
0.445282434,0.124342857,65
0.408271995,0.129142857,65
0.374544587,0.134971429,65
0.347497763,0.1408,65
0.327150611,0.146285714,65
0.296534447,0.156228571,65
0.994321503,0.192228571,70
0.959534745,0.187085714,70
0.928069192,0.182285714,70
0.893282434,0.177142857,70
0.866789144,0.173028571,70
0.831983299,0.168228571,70
0.802168804,0.163771429,70
0.770684163,0.159314286,70
0.737548464,0.154514286,70
0.699383239,0.150057143,70
0.667879511,0.145942857,70
0.634667462,0.142514286,70
0.598134208,0.138742857,70
0.558165225,0.136685714,70
0.516430659,0.136342857,70
0.469628392,0.137028571,70
0.427741127,0.139428571,70
0.390768864,0.143542857,70
0.355371309,0.149371429,70
0.328343573,0.154857143,70
0.297918282,0.161371429,70
