beta1,Stagger Angle,Beta2
-29.88302259,44.35259053,50
-27.04195052,43.55996773,50
-23.25116529,42.23736106,50
-18.64691646,40.51743456,50
-14.31516673,39.06283614,50
-10.25053783,37.34201327,50
-6.049659376,35.48852635,50
-1.441376838,33.36993546,50
3.575654356,30.85335246,50
7.644316959,28.73386518,50
11.30692004,26.74659376,50
14.97086769,24.62643421,50
18.76837576,22.63938688,50
21.75376479,20.91677124,50
25.14521334,19.06193976,50
28.26685192,17.20666009,50
31.929455,15.21938867,50
36.40821083,12.56902115,50
39.79965938,10.71418967,50
43.19110792,8.859358193,50
46.85640014,6.606310506,50
50.7928469,4.220822876,50
55.276981,1.038902833,50
-29.9287379,48.87078702,55
-25.05602366,47.28419684,55
-20.99542847,45.96203837,55
-16.39117963,44.24211187,55
-11.92318035,42.65484941,55
-7.586052349,40.66869846,55
-2.979114378,38.6829957,55
1.221764073,36.82950878,55
5.967640731,34.44536572,55
9.898709215,32.59143062,55
14.37477591,30.20683937,55
18.30853352,28.087128,55
22.24229114,25.96741664,55
26.04114378,23.84748118,55
29.70374686,21.86020975,55
33.77375403,19.60783435,55
37.98135532,17.08990678,55
41.64395841,15.10263535,55
45.5790606,12.85003586,55
49.51416278,10.59743636,55
52.50224095,8.60904446,55
56.16484403,6.621773037,55
60.2388849,3.970733238,55
64.85657942,0.921925421,55
-29.56301542,52.72521513,60
-26.04607386,51.80082467,60
-22.12172822,50.61133023,60
-18.33094299,49.28872356,60
-13.86563284,47.96723736,60
-10.07350305,46.51174256,60
-6.1451237,44.92358372,60
-2.084528505,43.60142524,60
1.981444962,41.74771423,60
7.132036572,39.36424346,60
12.82493725,36.71589279,60
17.97687343,34.19953388,60
22.85899964,31.68272678,60
27.33506633,29.29813553,60
32.08094299,26.91399247,60
36.55700968,24.52940122,60
41.16663679,22.27792219,60
45.64270348,19.89333094,60
49.84761563,17.64117963,60
54.32637146,14.99081212,60
58.26147365,12.73821262,60
62.33148082,10.48583722,60
69.65668698,6.511294371,60
-29.60335246,56.71185909,65
-24.73332736,55.39104518,65
-19.32233776,53.93823951,65
-13.77644317,52.48565794,65
-8.227859448,50.76730011,65
-3.220240229,49.18093403,65
1.384008605,47.46100753,65
6.666816063,45.34353711,65
11.00125493,43.62316242,65
16.01425242,41.50524381,65
21.02724991,39.38732521,65
25.36572248,37.26828612,65
30.51228039,35.28347974,65
35.9353711,32.63468089,65
41.35577268,30.2516583,65
46.09761563,28.26617963,65
51.38445679,25.75004482,65
56.12764432,23.63167802,65
61.14333094,21.24798315,65
68.73431337,17.67255289,65
-30.04705988,60.56494263,70
-25.0461635,59.64301721,70
-20.04526712,58.72109179,70
-13.9637863,57.66807099,70
-8.690390821,56.4808175,70
-3.82171029,55.29289172,70
1.587934744,53.97297418,70
7.403639297,52.5208408,70
11.86760488,51.33224274,70
16.06310506,50.01030835,70
21.61034421,48.42483865,70
26.89046253,46.5731445,70
31.49471137,44.853218,70
35.55665113,43.39817139,70
40.973019,41.41381319,70
45.30476873,39.95921477,70
49.91036214,38.10640014,70
53.97364647,36.5184654,70
59.25645393,34.40099498,70
64.6728218,32.41663679,70
69.41466475,30.43115812,70
-29.81086411,63.88759412,75
-24.81400143,63.36433309,75
-20.22454285,63.10617605,75
-15.49749014,62.58246683,75
-11.17515238,62.05808534,75
-6.448099677,61.53437612,75
-1.313642883,60.74556293,75
3.82215848,59.8238616,75
9.768734313,58.77061671,75
14.49982072,57.8482431,75
19.90677662,56.79410183,75
25.04392255,55.73951237,75
29.64010398,54.81691466,75
34.23762997,53.76142883,75
39.24121549,52.57372714,75
44.244801,51.38602546,75
49.11348153,50.19809968,75
54.52447114,48.74529401,75
59.52805665,47.55759233,75
69.13454643,44.78285228,75
-29.70957332,67.21002151,80
-24.44827895,67.2187612,80
-18.64736465,67.22839728,80
-13.38472571,67.10424883,80
-8.661706705,66.97920402,80
-2.453388311,66.72373611,80
3.351559699,66.33470778,80
9.559878093,66.07923987,80
16.44541054,65.55911617,80
22.92757261,64.90543205,80
27.51837576,64.51438688,80
32.91995339,63.99179814,80
38.32153101,63.46920939,80
44.9412872,62.54997311,80
51.02007888,61.76272858,80
56.82771603,61.10792399,80
63.58506633,59.92313553,80
68.98798853,59.26765866,80
