s_c,Yp,alpha2
1.102876298,0.017567568,40
1.036419143,0.017837838,40
0.961988567,0.018108108,40
0.890191853,0.018918919,40
0.821040975,0.02,40
0.762497381,0.021621622,40
0.685289276,0.024594595,40
0.632013409,0.027297297,40
0.589380743,0.02972973,40
0.538714795,0.033513514,40
0.498680075,0.037297297,40
0.458633384,0.041351351,40
0.423902308,0.045405405,40
0.389147287,0.05,40
0.359731825,0.054054054,40
0.327610667,0.059189189,40
1.102624884,0.023243243,50
1.049552543,0.021351351,50
0.975169854,0.020540541,50
0.916710066,0.02027027,50
0.858202388,0.021081081,50
0.765095328,0.022972973,50
0.687899195,0.025675676,50
0.629271797,0.029189189,50
0.586615187,0.032162162,50
0.541264853,0.035945946,50
0.47186256,0.042702703,50
0.415761276,0.049189189,50
0.354284517,0.057027027,50
0.303462931,0.064324324,50
1.102146,0.034054054,60
1.065056419,0.031351351,60
1.027942893,0.029189189,60
0.990829368,0.027027027,60
0.932477328,0.024324324,60
0.863422226,0.023243243,60
0.804914549,0.024054054,60
0.759707881,0.024594595,60
0.701152315,0.026486486,60
0.653204035,0.028918919,60
0.615886983,0.031351351,60
0.573242345,0.034054054,60
0.522540481,0.038648649,60
0.455772051,0.045945946,60
0.399646823,0.052972973,60
0.30334321,0.067027027,60
1.096423334,0.043243243,65
1.048750412,0.039459459,65
1.003723325,0.035945946,65
0.950710844,0.032702703,65
0.892346832,0.03027027,65
0.812672473,0.028918919,65
0.76215019,0.029459459,65
0.698290982,0.031081081,65
0.647720811,0.032702703,65
0.599760558,0.035405405,65
0.559773727,0.038108108,65
0.525090539,0.041081081,65
0.487725599,0.044594595,65
0.434330011,0.05,65
0.399622879,0.053513514,65
0.30334321,0.067027027,65
1.101152315,0.056486486,70
1.061440843,0.052972973,70
1.016401784,0.04972973,70
0.971350753,0.046756757,70
0.934249199,0.044324324,70
0.899769537,0.042702703,70
0.852036754,0.04027027,70
0.801610248,0.038648649,70
0.753805633,0.037837838,70
0.721923917,0.037567568,70
0.666097992,0.037837838,70
0.620879351,0.038648649,70
0.570297208,0.040540541,70
0.527664542,0.042972973,70
0.492993326,0.045675676,70
0.455640358,0.048918919,70
0.404902577,0.054324324,70
0.372829308,0.058378378,70
0.303319266,0.067567568,70
1.103307294,0.067837838,75
1.06887552,0.065135135,75
1.02650624,0.061621622,75
0.976163539,0.058108108,75
0.92316303,0.054594595,75
0.878088055,0.052162162,75
0.822357906,0.05027027,75
0.7719314,0.048648649,75
0.708191913,0.047567568,75
0.649756068,0.046756757,75
0.564658346,0.047837838,75
0.503444973,0.04972973,75
0.455472748,0.052702703,75
0.418143725,0.055405405,75
0.386118344,0.058378378,75
0.362078357,0.061081081,75
0.335368591,0.064054054,75
0.300601598,0.068918919,75
0.303139685,0.071621622,80
0.33518901,0.068108108,80
0.369872198,0.065135135,80
0.417844422,0.062162162,80
0.463122924,0.06,80
0.505731645,0.058108108,80
0.574894496,0.056756757,80
0.646607405,0.057837838,80
0.702337554,0.05972973,80
0.763347401,0.062432432,80
0.827003083,0.065405405,80
0.887977014,0.068918919,80
0.943659274,0.071891892,80
0.994013948,0.075135135,80
1.039053006,0.078378378,80
1.097309269,0.083243243,80
