M2,K1
0.011899683,0.998746038
0.061662447,0.99715217
0.116123084,0.997499053
0.163071908,0.99779809
0.20814278,0.998085166
0.229700365,0.973381711
0.253129922,0.944868523
0.272806563,0.91824226
0.299980064,0.882109607
0.336525388,0.834571679
0.377759614,0.783241961
0.424612747,0.722393892
0.45647216,0.680558601
0.483651642,0.648247643
0.517386017,0.604513467
0.540812583,0.574089432
0.570803014,0.537974721
0.597037539,0.501836088
0.625150017,0.465709416
0.64669863,0.43527342
0.668253225,0.408659118
0.688868842,0.382038835
0.714170371,0.349715915
0.734785989,0.323095632
0.761026495,0.290778693
0.780703136,0.264152429
0.806004665,0.231829509
0.835053129,0.193797971
0.854735751,0.170993401
0.874412392,0.144367138
0.90252487,0.108240466
0.930643328,0.075935488
0.954069895,0.045511453
0.990615219,-0.002026475
