M1/M2,K2
0.005283019,0.001478224
0.089056604,0.009555965
0.133207547,0.024847496
0.2,0.046650589
0.261132075,0.073028798
0.34490566,0.119452405
0.400377358,0.161683927
0.443396226,0.195033338
0.476226415,0.223986381
0.510188679,0.255182295
0.540754717,0.288672152
0.576981132,0.326609448
0.614339623,0.371300894
0.653962264,0.420478082
0.69245283,0.471923677
0.730943396,0.52788055
0.76490566,0.579377217
0.804528302,0.6398326
0.83509434,0.69136757
0.874716981,0.758589871
0.899622642,0.803421762
0.93245283,0.866209391
0.968679245,0.937981274
1.003773585,1.000743368
