t/o,delta phi tet 2
0.000665383,-0.002092891
0.011195062,-0.001821923
0.029233935,-0.000759061
0.040745929,0.000559884
0.055748555,0.002928997
0.068258624,0.004510594
0.078239363,0.007137104
0.094219051,0.010815969
0.110689897,0.015018823
0.126653826,0.019483015
0.144603397,0.02499606
0.160546314,0.030507354
0.177487305,0.036281299
0.191434075,0.041267291
0.209346874,0.048612765
0.226742252,0.056743127
0.245146209,0.06461259
0.260054281,0.071693661
0.276456838,0.079299597
0.301308878,0.090839608
0.320177727,0.100541937
0.340044651,0.110506916
0.353452985,0.117324899
0.369353878,0.124930397
0.384246192,0.132796796
0.398647347,0.140139205
