Z,"(alpha1-alpha1,opt),(beta2-beta2,opt)","0=a,1=b"
-49.94413408,0.161797753,0
-46.03351955,0.133033708,0
-42.12290503,0.109662921,0
-38.60335196,0.091685393,0
-33.51955307,0.06741573,0
-28.43575419,0.048539326,0
-21.7877095,0.029662921,0
-11.62011173,0.008089888,0
0.111731844,-5.55E-17,0
13.79888268,0.01258427,0
20.44692737,0.030561798,0
28.26815642,0.053932584,0
34.52513966,0.078202247,0
40.39106145,0.10247191,0
45.08379888,0.128539326,0
49.38547486,0.152808989,0
53.68715084,0.181573034,0
57.59776536,0.210337079,0
62.29050279,0.250786517,0
65.02793296,0.279550562,0
-45.6424581,0.28494382,1
-44.07821229,0.269662921,1
-42.90502793,0.254382022,1
-41.34078212,0.238202247,1
-40.16759777,0.221123596,1
-38.2122905,0.204044944,1
-36.25698324,0.186966292,1
-33.91061453,0.167191011,1
-31.56424581,0.148314607,1
-29.21787709,0.131235955,1
-26.48044693,0.114157303,1
-23.74301676,0.095280899,1
-21.00558659,0.077303371,1
-18.26815642,0.061123596,1
-14.74860335,0.04494382,1
-10.83798883,0.025168539,1
-0.670391061,0.001797753,1
7.932960894,0.011685393,1
12.62569832,0.028764045,1
15.75418994,0.046741573,1
19.27374302,0.06741573,1
21.62011173,0.088089888,1
24.3575419,0.107865169,1
26.70391061,0.127640449,1
29.05027933,0.149213483,1
31.00558659,0.16988764,1
33.35195531,0.189662921,1
35.69832402,0.213033708,1
38.04469274,0.239101124,1
40.78212291,0.263370787,1
43.12849162,0.285842697,1
45.08379888,0.309213483,1
47.4301676,0.32988764,1
49.38547486,0.353258427,1
51.73184358,0.374831461,1
54.46927374,0.4,1
