Zeta_Delta,delta alpha-tau/g,"alpha2,beta3"
0.000267915,3.32E-05,20
0.005787255,3.48E-05,20
0.009527297,7.16E-05,20
0.013088729,9.05E-05,20
0.01665016,0.000109374,20
0.020923765,0.000128478,20
0.026621715,0.000148006,20
0.030183713,0.000184734,20
0.035526144,0.000221991,20
0.039978926,0.000276818,20
0.044253097,0.000313757,20
0.047637053,0.000350431,20
0.052803141,0.000441139,20
0.057257057,0.000531635,20
0.061532362,0.000604243,20
0.065808235,0.000694686,20
0.072578414,0.000839374,20
0.078101723,0.000965856,20
0.082021509,0.001056193,20
0.086654035,0.001164577,20
0.090218301,0.001272642,20
0.098416795,0.001542595,20
0.102516325,0.001686489,20
0.107150552,0.001848376,20
0.111072606,0.002010051,20
0.120165285,0.002405111,20
0.000267915,3.32E-05,30
0.005787255,3.48E-05,30
0.009527297,7.16E-05,30
0.013088729,9.05E-05,30
0.01665016,0.000109374,30
0.027516467,0.000290948,30
0.033217252,0.000399648,30
0.038383341,0.000490356,30
0.047113696,0.000689129,30
0.053707533,0.000887268,30
0.059232543,0.001067254,30
0.063688727,0.001229088,30
0.067788257,0.001372982,30
0.072423618,0.001570538,30
0.076168196,0.001749995,30
0.079378644,0.001929293,30
0.083301832,0.002126637,30
0.087048111,0.002359598,30
0.09132852,0.002592718,30
0.094539535,0.00278985,30
0.09775055,0.002986983,30
0.101319353,0.003237726,30
0.104531502,0.003470527,30
0.107743085,0.003685495,30
0.111847718,0.0039899,30
0.115238478,0.004240589,30
0.119700899,0.004598603,30
0.000267915,3.32E-05,45
0.00614561,0.000106251,45
0.012022737,0.000161501,45
0.018080176,0.000288143,45
0.023602918,0.000396791,45
0.028770141,0.000523167,45
0.035186501,0.000739087,45
0.042853133,0.00108022,45
0.048023758,0.001313604,45
0.052483911,0.00160028,45
0.056052147,0.001833187,45
0.059977036,0.002084036,45
0.063903059,0.002370553,45
0.067472996,0.002656964,45
0.07157933,0.003014873,45
0.075329011,0.003354841,45
0.07943648,0.003748418,45
0.083543949,0.004141996,45
0.089618965,0.004821509,45
0.094265099,0.005357922,45
0.097125131,0.00571546,45
0.099627376,0.006019388,45
0.102487975,0.006394761,45
0.104990786,0.006716524,45
0.109103358,0.007270612,45
0.114468469,0.008021252,45
