Xi_z,f
0.133333333,0.010225455
7.6,0.02576
12.53333333,0.03392
17.33333333,0.055127273
25.2,0.096974545
29.33333333,0.170327273
32.53333333,0.282647273
34,0.361672727
35.86666667,0.473556364
37.33333333,0.578763636
38.8,0.683970909
40.13333333,0.834952727
41.46666667,0.979389091
42.53333333,1.104101818
43.46666667,1.202589091
44.4,1.327258182
45.2,1.464974545
45.86666667,1.596101818
46.66666667,1.740363636
48,1.982981818
48.93333333,2.153469091
49.73333333,2.297730909
50.26666667,2.389541818
