delta/c,K,"0-stator, 1-rotor"
0.006323596,1.343636364,0
0.007779775,1.345454545,0
0.009438202,1.345454545,0
0.010813483,1.343636364,0
0.014008989,1.34,0
0.015424719,1.34,0
0.016314607,1.336363636,0
0.017366292,1.332727273,0
0.018134831,1.325454545,0
0.01898427,1.318181818,0
0.019752809,1.310909091,0
0.020642697,1.305454545,0
0.021492135,1.298181818,0
0.022260674,1.289090909,0
0.02331236,1.28,0
0.024525843,1.269090909,0
0.025617978,1.258181818,0
0.026710112,1.247272727,0
0.027802247,1.238181818,0
0.028611236,1.230909091,0
0.029298876,1.221818182,0
0.030107865,1.216363636,0
0.006444944,1.636363636,1
0.007334831,1.629090909,1
0.007982022,1.621818182,1
0.009033708,1.612727273,1
0.009964045,1.6,1
0.01101573,1.590909091,1
0.011946067,1.578181818,1
0.012916854,1.569090909,1
0.01392809,1.558181818,1
0.014898876,1.547272727,1
0.015788764,1.538181818,1
0.016719101,1.525454545,1
0.017811236,1.516363636,1
0.018701124,1.505454545,1
0.019752809,1.494545455,1
0.020764045,1.483636364,1
0.021694382,1.474545455,1
0.022665169,1.463636364,1
0.023635955,1.452727273,1
0.024566292,1.441818182,1
0.025577528,1.430909091,1
0.026507865,1.42,1
0.027519101,1.410909091,1
0.028489888,1.398181818,1
0.029703371,1.385454545,1
0.030067416,1.381818182,1
