Clearance,Xi_Cl
0.001694915,0.005086407
0.060169492,0.040505151
0.111016949,0.092429379
0.138983051,0.138968096
0.179661017,0.223880027
0.205084746,0.275920572
0.227966102,0.327972748
0.248305085,0.374546361
0.276271186,0.437555666
0.309322034,0.5115221
0.347457627,0.596445663
0.375423729,0.659454968
0.411016949,0.730664673
0.436440678,0.785450316
0.479661017,0.870350615
0.510169492,0.914132602
0.558474576,0.971558657
0.61440678,1.026204719
0.652542373,1.061716517
0.700847458,1.105417082
0.759322034,1.146326022
0.820338983,1.189968428
0.845762712,1.206322699
0.876271186,1.225398804
0.904237288,1.241741442
0.934745763,1.260817547
0.96779661,1.277136923
0.995762712,1.293479561
