alpha1-beta2,G,alpha2-beta3
45.35545024,2.025477707,40
52.81990521,2.025477707,40
57.72511848,2,40
61.77725118,1.974522293,40
68.60189573,1.949044586,40
74.78672986,1.898089172,40
79.26540284,1.847133758,40
84.81042654,1.821656051,40
93.55450237,1.770700637,40
103.7914692,1.694267516,40
110.8293839,1.668789809,40
113.3886256,1.643312102,40
115.521327,1.617834395,40
117.6540284,1.592356688,40
120,1.566878981,40
35.11848341,3.070063694,35
41.09004739,3.044585987,35
44.92890995,2.993630573,35
48.55450237,2.942675159,35
52.18009479,2.891719745,35
56.01895735,2.840764331,35
59.43127962,2.789808917,35
63.48341232,2.738853503,35
68.17535545,2.713375796,35
72.44075829,2.636942675,35
76.492891,2.611464968,35
84.38388626,2.560509554,35
89.28909953,2.50955414,35
93.34123223,2.458598726,35
98.45971564,2.407643312,35
103.3649289,2.356687898,35
107.8436019,2.331210191,35
112.7488152,2.25477707,35
116.5876777,2.203821656,35
120,2.178343949,35
123.1990521,2.101910828,35
127.0379147,2.050955414,35
129.5971564,1.974522293,35
134.5023697,1.898089172,35
30.21327014,4.063694268,30
34.26540284,4.012738854,30
39.5971564,3.961783439,30
43.00947867,3.910828025,30
45.56872038,3.834394904,30
48.76777251,3.78343949,30
52.60663507,3.707006369,30
56.44549763,3.630573248,30
60.07109005,3.554140127,30
65.18957346,3.452229299,30
70.09478673,3.375796178,30
74.14691943,3.299363057,30
78.19905213,3.248407643,30
81.18483412,3.197452229,30
84.17061611,3.146496815,30
87.36966825,3.095541401,30
91.84834123,3.01910828,30
97.18009479,2.968152866,30
102.7251185,2.891719745,30
105.4976303,2.840764331,30
108.2701422,2.789808917,30
112.3222749,2.738853503,30
115.7345972,2.713375796,30
120.2132701,2.636942675,30
125.3317536,2.560509554,30
128.7440758,2.433121019,30
133.8625592,2.331210191,30
26.37440758,5.617834395,25
30.21327014,5.541401274,25
33.41232227,5.414012739,25
36.18483412,5.286624204,25
38.74407583,5.184713376,25
41.51658768,5.082802548,25
44.50236967,4.955414013,25
47.7014218,4.853503185,25
50.47393365,4.777070064,25
54.09952607,4.675159236,25
57.51184834,4.573248408,25
60.92417062,4.47133758,25
64.54976303,4.369426752,25
69.24170616,4.242038217,25
73.29383886,4.165605096,25
76.492891,4.063694268,25
79.90521327,4.012738854,25
83.74407583,3.987261146,25
88.6492891,3.910828025,25
92.06161137,3.834394904,25
96.11374408,3.757961783,25
99.73933649,3.681528662,25
102.9383886,3.630573248,25
107.2037915,3.554140127,25
111.042654,3.477707006,25
116.1611374,3.426751592,25
121.0663507,3.375796178,25
124.9052133,3.248407643,25
128.1042654,3.146496815,25
131.0900474,3.070063694,25
134.2890995,2.993630573,25
137.0616114,2.917197452,25
140.4739336,2.840764331,25
146.2322275,2.662420382,25
149.6445498,2.560509554,25
20.82938389,8.522292994,20
22.32227488,8.522292994,20
24.4549763,8.318471338,20
27.22748815,8.038216561,20
29.36018957,7.78343949,20
32.34597156,7.477707006,20
34.69194313,7.222929936,20
37.03791469,7.044585987,20
40.45023697,6.789808917,20
42.79620853,6.636942675,20
46.63507109,6.407643312,20
49.1943128,6.280254777,20
53.2464455,6.101910828,20
56.87203791,5.974522293,20
65.4028436,5.719745223,20
72.01421801,5.541401274,20
76.06635071,5.414012739,20
81.18483412,5.286624204,20
84.81042654,5.210191083,20
92.7014218,5.006369427,20
100.5924171,4.828025478,20
105.07109,4.777070064,20
109.9763033,4.675159236,20
112.9620853,4.598726115,20
115.7345972,4.547770701,20
119.1469194,4.496815287,20
123.1990521,4.394904459,20
127.6777251,4.292993631,20
130.8767773,4.165605096,20
133.8625592,4.063694268,20
136.4218009,3.987261146,20
139.8341232,3.910828025,20
142.6066351,3.78343949,20
145.3791469,3.681528662,20
149.8578199,3.503184713,20
28.507109,10.99363057,15
30.63981043,10.61146497,15
32.98578199,10.25477707,15
35.33175355,9.923566879,15
38.1042654,9.592356688,15
41.09004739,9.312101911,15
44.07582938,9.006369427,15
46.42180095,8.853503185,15
48.98104265,8.649681529,15
52.39336493,8.445859873,15
54.73933649,8.318471338,15
57.93838863,8.140127389,15
60.71090047,8.012738854,15
63.48341232,7.885350318,15
66.25592417,7.78343949,15
70.30805687,7.630573248,15
74.78672986,7.477707006,15
80.11848341,7.375796178,15
84.81042654,7.222929936,15
90.78199052,7.095541401,15
95.04739336,6.968152866,15
100.8056872,6.840764331,15
105.2843602,6.76433121,15
109.1232227,6.662420382,15
114.4549763,6.535031847,15
119.3601896,6.407643312,15
125.1184834,6.229299363,15
129.3838863,6.076433121,15
134.0758294,5.872611465,15
137.0616114,5.770700637,15
141.1137441,5.566878981,15
145.1658768,5.414012739,15
149.6445498,5.184713376,15
