blade inlet angle,incidence range ratio Fi,s/b
29.25847154,0.254381074,0.4
40.11627952,0.272701188,0.4
50.49860596,0.306561846,0.4
60.11496475,0.356088337,0.4
69.64532233,0.42482125,0.4
75.19271,0.472268862,0.4
80.06229674,0.520008817,0.4
89.80580121,0.62315459,0.4
98.0065429,0.738467369,0.4
104.1608888,0.831659584,0.4
110.1259083,0.932601189,0.4
119.6179056,1.104865024,0.4
29.12761358,0.365619623,0.5
40.18340996,0.391522075,0.5
50.4689077,0.425424496,0.5
60.08310099,0.471118054,0.5
69.61778957,0.547516831,0.5
80.14025468,0.657994362,0.5
89.79559244,0.776513625,0.5
94.96649278,0.843292949,0.5
100.4322102,0.917612848,0.5
110.113534,1.082127293,0.5
116.3733706,1.190609472,0.5
119.6033658,1.250558196,0.5
28.37309214,0.572973809,0.7
32.53889196,0.575010924,0.7
40.20135266,0.594709224,0.7
50.58151361,0.62473695,0.7
55.82758767,0.653145193,0.7
60.10537469,0.681971067,0.7
64.4864869,0.722253974,0.7
69.74988496,0.781325672,0.7
74.7163004,0.829023863,0.7
80.08085816,0.895719661,0.7
89.83735562,1.021863025,0.7
100.5794641,1.178252211,0.7
110.1574627,1.331309624,0.7
119.7441232,1.499698764,0.7
26.84610655,0.784495033,0.9
30.62675705,0.790532133,0.9
40.13112865,0.813269864,0.9
46.14966686,0.837511069,0.9
53.91328726,0.864833469,0.9
60.03731617,0.904364639,0.9
65.97201867,0.951645199,0.9
69.67532995,0.992220448,0.9
75.71768864,1.058623903,0.9
80.10096635,1.102739742,0.9
84.98571158,1.177310219,0.9
89.95862352,1.236507206,0.9
96.88976454,1.333198247,0.9
102.3619785,1.419016941,0.9
110.0829076,1.5422044,0.9
116.0479271,1.643146005,0.9
119.8567291,1.699011218,0.9
26.74773106,0.953227559,1.1
31.2061825,0.958972316,1.1
37.70020224,0.967672979,1.1
43.42608884,0.988206542,1.1
49.24663864,1.00486541,1.1
55.75798237,1.044229527,1.1
61.01488393,1.091802429,1.1
65.69081326,1.13962591,1.1
71.83216616,1.209820534,1.1
79.24095421,1.294803964,1.1
88.90278847,1.424822023,1.1
95.64460308,1.529262455,1.1
100.7230057,1.603749405,1.1
105.8079048,1.689735152,1.1
110.5979869,1.768180324,1.1
119.7843396,1.913738926,1.1
59.91573892,1.20345861,1.3
65.7622747,1.26611266,1.3
72.101616,1.343889621,1.3
78.15263669,1.425624804,1.3
83.42469673,1.500028229,1.3
88.50309937,1.57451518,1.3
93.19202169,1.645336252,1.3
96.71033755,1.701326754,1.3
100.7149624,1.760941373,1.3
107.2609541,1.861632399,1.3
109.9981439,1.906458212,1.3
60.8651552,1.341068287,1.5
65.1602662,1.400557616,1.5
69.83836103,1.452214029,1.5
75.40307269,1.530325095,1.5
80.86879014,1.604644994,1.5
86.3388386,1.686630755,1.5
91.41724123,1.761117706,1.5
96.20515775,1.835729947,1.5
100.9930743,1.910342187,1.5
105.7896528,2.000286155,1.5
111.842839,2.08585427,1.5
117.0267323,2.175631185,1.5
