Blade Pitch to Back Radius Ratio,Profile Loss Increment xp_se,outlet isentropic mach
0.000157507,-0.037037037,2
0.066718028,0,2
0.146029789,2.111111111,2
0.192905324,5.074074074,2
0.231494607,7.666666667,2
0.266406437,10.03703704,2
0.303156994,12.51851852,2
0.330707071,14.51851852,2
0.364677281,17.07407407,2
0.401383325,20.03703704,2
0.000157507,-0.037037037,1.9
0.066721452,-0.037037037,1.9
0.099078925,-0.037037037,1.9
0.125817497,0.740740741,1.9
0.167296696,2.074074074,1.9
0.202273583,3.740740741,1.9
0.222485876,5.111111111,1.9
0.260181476,7.37037037,1.9
0.290508475,9.333333333,1.9
0.3263585,11.55555556,1.9
0.373240883,14.44444444,1.9
0.427467899,17.88888889,1.9
0.46239685,20.07407407,1.9
0.000157507,-0.037037037,1.8
0.066721452,-0.037037037,1.8
0.099078925,-0.037037037,1.8
0.108320493,0,1.8
0.13507961,0.555555556,1.8
0.174733778,1.62962963,1.8
0.20790618,2.814814815,1.8
0.240112994,4.444444444,1.8
0.264961479,5.666666667,1.8
0.303612395,7.592592593,1.8
0.349611368,10.03703704,1.8
0.388262284,11.96296296,1.8
0.442540661,14.85185185,1.8
0.497733265,17.85185185,1.8
0.540051361,20.11111111,1.8
0.000157507,-0.037037037,1.7
0.066721452,-0.037037037,1.7
0.099078925,-0.037037037,1.7
0.108320493,0,1.7
0.124033556,0.037037037,1.7
0.150796097,0.555555556,1.7
0.184927238,1.37037037,1.7
0.227320664,2.814814815,1.7
0.26508817,4.296296296,1.7
0.303763054,5.962962963,1.7
0.343359014,7.666666667,1.7
0.374668721,9,1.7
0.415178908,10.81481481,1.7
0.456610169,12.66666667,1.7
0.50357473,14.66666667,1.7
0.545913371,16.7037037,1.7
0.605759288,19.37037037,1.7
0.623256292,20.11111111,1.7
0.000157507,-0.037037037,1.6
0.066721452,-0.037037037,1.6
0.099078925,-0.037037037,1.6
0.108320493,0,1.6
0.123109057,0.037037037,1.6
0.135127547,0.037037037,1.6
0.164663585,0.555555556,1.6
0.204345146,1.333333333,1.6
0.25874679,2.888888889,1.6
0.304831364,4.407407407,1.6
0.372104092,6.740740741,1.6
0.427382298,8.814814815,1.6
0.480821777,10.77777778,1.6
0.537925013,13.11111111,1.6
0.585814073,15.11111111,1.6
0.650282486,17.77777778,1.6
0.700917651,20.07407407,1.6
0.000157507,-0.037037037,1.5
0.066721452,-0.037037037,1.5
0.099078925,-0.037037037,1.5
0.108320493,0,1.5
0.123109057,0.037037037,1.5
0.135127547,0.037037037,1.5
0.149922958,0,1.5
0.184084917,0.481481481,1.5
0.224694402,1.222222222,1.5
0.304030132,3.074074074,1.5
0.375959596,5.037037037,1.5
0.465358671,8.037037037,1.5
0.53172402,10.18518519,1.5
0.613737374,13.07407407,1.5
0.703105633,16.40740741,1.5
0.746406437,18.03703704,1.5
0.000157507,-0.037037037,1.4
0.066721452,-0.037037037,1.4
0.099078925,-0.037037037,1.4
0.108320493,0,1.4
0.123109057,0.037037037,1.4
0.135127547,0.037037037,1.4
0.149922958,0,1.4
0.164714946,0,1.4
0.216432118,0.592592593,1.4
0.27642527,1.666666667,1.4
0.343790447,3,1.4
0.402828283,4.407407407,1.4
0.504269817,7.148148148,1.4
0.553124465,8.703703704,1.4
0.61950351,10.7037037,1.4
0.664660161,12.25925926,1.4
0.71719911,13.96296296,1.4
0.748539634,14.96296296,1.4
0.000157507,-0.037037037,1.3
0.066721452,-0.037037037,1.3
0.099078925,-0.037037037,1.3
0.108320493,0,1.3
