Outlet Flow Angle [Degrees],Lift Parameter [Fl],Fluid Inlet Angle at minimum loss
10,7.966120324,140
12.64868727,7.24063363,140
16.28972207,6.307747263,140
19.59800514,5.444268894,140
25.0460934,3.926360476,140
29.01603308,2.890186434,140
32.48684518,1.95812439,140
38.10515614,0.43939165,140
39.92759696,-0.010111696,140
10,9.085798288,130
15.62710374,7.971973017,130
19.61627763,7.105197357,130
24.93261159,5.926910025,130
29.24299669,4.889087337,130
33.05810103,3.989256323,130
39.18708011,2.468050613,130
42.99449077,1.500460247,130
46.14409166,0.739445231,130
49.29369255,-0.021569786,130
10,9.931965873,120
13.57577589,9.405635622,120
19.59608172,8.427329056,120
23.77471252,7.729127454,120
33.1109951,5.955101873,120
39.92855867,4.498358223,120
47.07502713,2.938326899,120
52.882795,1.588168217,120
59.68497122,-0.004094138,120
10,10.74590243,110
14.54998832,10.48566365,110
19.42874414,9.953563136,110
26.8108316,8.968661986,110
31.32606097,8.234932062,110
35.65952711,7.400387432,110
40.64695619,6.325387775,110
45.63438526,5.250388119,110
49.95246404,4.280324783,110
56.2593595,2.826054103,110
62.24504376,1.54283045,110
68.72985561,0.1554948,110
69.73195763,-0.01884952,110
10,11.45819995,100
12.61502741,11.44418646,100
17.19180623,11.25253136,100
23.60641323,10.74689162,100
29.16221303,10.17761413,100
34.86515449,9.404234273,100
39.20631431,8.637448995,100
42.36745573,7.978073008,100
46.85960405,7.041065025,100
49.84667592,6.348633685,100
54.81871763,5.138115323,100
59.62823032,3.996180637,100
65.11478698,2.817068982,100
69.61078215,1.913940676,100
79.95301359,-0.000549549,100
10,11.9663951,90
13.89891052,12.25152843,90
17.32644566,12.43832003,90
21.914765,12.34830396,90
26.47615646,12.02113015,90
33.53703271,11.20727602,90
38.05226208,10.4735461,90
43.05892536,9.567944825,90
46.71919436,8.80445684,90
50.05055848,8.144256529,90
56.03624274,6.861032877,90
59.68881806,6.029785539,90
63.67029827,5.095250526,90
66.32846525,4.50610686,90
68.82410321,3.98554687,90
71.65249289,3.395578881,90
74.64725844,2.770906893,90
78.64797285,2.005770261,90
81.98318381,1.379449627,90
86.4907195,0.57796035,90
89.65955459,-0.013656285,90
80.0203333,3.592344787,80
77.5208485,4.079025101,80
73.85673266,4.80863341,80
70.03008779,5.606825395,80
66.3621251,6.302554028,80
62.53548024,7.100746012,80
57.69519282,7.971643288,80
54.36767555,8.665723275,80
49.0244137,9.606852872,80
43.51092915,10.54880679,80
36.64720348,11.59899433,80
29.74116257,12.27650542,80
23.13709866,12.6135711,80
19.90671411,12.66311292,80
17.68612527,12.60606977,80
15.27992636,12.41433223,80
12.3592125,12.19118799,80
10,12.09779219,80
69.78485169,7.94699603,70
66.59678239,8.369214283,70
62.40276423,8.931897179,70
58.04621704,9.563163752,70
52.0143707,10.43983129,70
48.32717381,10.96616154,70
42.95698408,11.6701334,70
38.07822826,12.20223392,70
30.47206232,12.71364392,70
26.05781252,12.83671535,70
22.65720527,12.88708148,70
18.73054254,12.80440188,70
15.29916056,12.58373061,70
12.20437716,12.32753102,70
10,12.10273813,70
60.58320854,10.90681028,60
49.81974803,12.11147595,60
35.79512825,13.09464602,60
29.51227554,13.26066468,60
22.35138143,13.19364722,60
18.06888593,12.97709756,60
13.08241856,12.56056713,60
10.32423372,12.26883922,60
10,12.23660819,60
51.50947285,13.49312377,50
48.46085153,13.64348029,50
42.3559152,13.87643398,50
36.75010648,14.00527567,50
32.14639977,13.95977304,50
26.50596947,13.78369764,50
22.38984984,13.53244398,50
19.12869056,13.31094838,50
15.85983761,13.02169343,50
13.79023727,12.79442758,50
11.89085963,12.5663374,50
10.50599695,12.36965392,50
10,12.27131218,50
39.77468504,15.14317117,40
34.11502054,14.79769739,40
29.65845549,14.54809238,40
22.95822056,14.03816616,40
20.03365986,13.78114224,40
17.44185088,13.45471032,40
15.3684037,13.19356478,40
12.43230247,12.83490184,40
10.87721709,12.63904269,40
10,12.47541457,40
29.40648742,15.32897358,30
25.60388531,14.83891354,30
22.84185363,14.51330595,30
20.24619781,14.15299435,30
17.64669515,13.75880308,30
15.22126204,13.39766717,30
13.48441343,13.10099331,30
12.09955074,12.90430984,30
10.54061852,12.67457101,30
10,12.57622927,30
19.5845412,14.32569003,20
17.85538626,14.09677552,20
16.28876036,13.79927734,20
14.19992581,13.4026131,20
12.4630772,13.10593925,20
11.41481308,12.87372745,20
10,12.67704398,20
11.26382458,13.04395016,10
10.91183865,12.94395977,10
10.38963002,12.84479371,10
10,12.7125723,10
