Blade Inlet Angle,i-istall,asin(o/s)
69.80718057,-42.15514719,10
72.91569723,-41.68480154,10
77.06410131,-40.71290246,10
82.64304722,-38.98672277,10
87.05560277,-37.50156735,10
91.21097287,-35.88322164,10
95.75699737,-34.01214874,10
100.4323112,-32.14302632,10
106.4046979,-29.90554077,10
111.8585341,-27.78954261,10
116.6589576,-26.31023866,10
121.9779316,-24.70944732,10
126.5169901,-23.48482104,10
131.8331778,-22.14260836,10
137.1479722,-20.929685,10
143.7570531,-19.60697717,10
149.978266,-18.27841788,10
158.1374256,-17.1084052,10
169.7957563,-15.21531967,10
69.58064561,-39.17759171,20
75.40981094,-38.23104894,20
84.0986667,-35.90523427,20
97.07775471,-31.44586706,20
104.7364755,-28.71658052,20
110.5767864,-26.73572314,20
115.6371818,-25.13103083,20
121.2147345,-23.53414046,20
126.9201833,-22.06848991,20
131.848503,-20.72042576,20
138.5882664,-19.27037909,20
145.1987405,-17.81838193,20
151.4185603,-16.61911197,20
157.7662761,-15.55108182,20
69.74197863,-36.20588768,30
74.7940148,-35.37693133,30
79.71954804,-34.28744584,30
84.13071039,-32.93157975,30
89.96823495,-31.20930103,30
96.32709642,-29.10695627,30
100.9982306,-27.62570183,30
105.5386823,-26.27178623,30
111.1176282,-24.54560653,30
115.9166585,-23.1955919,30
120.843585,-21.97681709,30
125.6412221,-20.75609178,30
131.6038564,-19.42363153,30
135.4936818,-18.44783148,30
140.0299539,-17.48178386,30
147.2882678,-15.9102498,30
69.77959513,-32.71507586,40
75.47389832,-32.28373992,40
84.15718127,-30.47508255,40
90.51186313,-28.76060577,40
96.73864887,-26.91488917,40
102.706856,-25.06527161,40
108.1551193,-23.46643075,40
113.2113351,-22.24960642,40
120.2138568,-20.41559274,40
125.1407833,-19.19681792,40
130.5834738,-18.11513437,40
137.1953411,-16.53384789,40
69.82417766,-28.57781741,50
76.42907895,-27.64297756,50
85.23886482,-26.09484932,50
92.62507488,-24.65455508,50
98.45563342,-23.57872299,50
104.547557,-22.24821322,50
109.9902476,-21.16652967,50
117.8964014,-19.47545871,50
124.7654541,-18.02736253,50
128.3967009,-17.04766151,50
69.88129902,-23.27695501,60
74.01855748,-23.33937055,60
78.28789166,-23.14515792,60
82.94788024,-22.69821809,60
89.9364699,-22.15709768,60
95.50287697,-21.59452192,60
100.8107054,-21.0280452,60
105.732059,-20.32642769,60
110.3976204,-19.36233055,60
114.5418449,-18.77829946,60
119.7245636,-17.82200426,60
69.80077183,-18.74987809,70
74.44961478,-19.33725288,70
79.35982278,-19.66994998,70
83.75148028,-20.12413447,70
88.92583975,-19.94357524,70
97.07106733,-20.06645583,70
102.3733229,-20.01713641,70
107.1626008,-19.57214707,70
112.5983254,-19.13691015,70
117.7810441,-18.18061496,70
120.2417209,-17.82980621,70
