Vinlet^2/Voutlet^2,Base Secondary Loss Factor,s/b
-0.014701369,1.333005954,4
0.078478915,1.989319256,4
0.204916825,2.841937266,4
0.32139218,3.662328893,4
0.397925235,4.187158554,4
0.560972316,5.302375545,4
0.600914615,5.597937512,4
0.737333497,6.516113191,4
0.800589282,7.009084771,4
0.946989135,7.99281812,4
0.996893991,8.32060647,4
-0.014535633,1.632987539,5
0.072052053,2.356700018,5
0.148658769,3.014854828,5
0.231950157,3.772266896,5
0.328555644,4.628199619,5
0.411810202,5.318949113,5
0.565042048,6.668590019,5
0.691645694,7.821189614,5
0.798232153,8.742680007,5
0.891486097,9.532318458,5
0.994721012,10.38751458,5
-0.014333067,1.999631698,6
0.048996378,2.625928427,6
0.142360813,3.615554601,6
0.235706832,4.571849487,6
0.325756553,5.561843963,6
0.415787858,6.518507151,6
0.492449819,7.276655822,6
0.602498312,8.464428212,6
0.68586336,9.355165429,6
0.762525321,10.1133141,6
0.835890983,10.90516236,6
0.929255417,11.89478853,6
0.992603278,12.55441655,6
0.990522374,14.78798109,7
0.940433368,14.12687987,7
0.877030262,13.367258,7
0.826941256,12.70615677,7
0.743484132,11.64876312,7
0.676747898,10.85617826,7
0.579958259,9.666932662,7
0.479798662,8.378061506,7
0.383009023,7.188815911,7
0.272868455,5.834387085,7
0.166024185,4.44625867,7
0.07258609,3.323307348,7
0.002479897,2.431096925,7
-0.010871033,2.265913695,7
0.995126143,17.1208029,8
0.951703395,16.52562765,8
0.901614388,15.86452643,8
0.844803879,15.03750537,8
0.801325885,14.34233626,8
0.73451599,13.41642625,8
0.684390154,12.68866245,8
0.634264318,11.96089866,8
0.554085078,10.83647413,8
0.503940826,10.07537904,8
0.447130317,9.248357989,8
0.370284206,8.156896446,8
0.320139955,7.395801363,8
0.28006875,6.866920385,8
0.223258241,6.039899331,8
0.176465533,5.345098521,8
0.129691241,4.683628998,8
0.072899147,3.88993923,8
0.03612424,3.327358664,8
-0.013964766,2.666257443,8
0.999564177,19.15364312,9
0.959492972,18.62476214,9
0.92269965,18.02885029,9
0.875870112,17.2673869,9
0.808968142,16.17482045,9
0.768841692,15.54594561,9
0.725345283,14.81744522,9
0.681867289,14.1222761,9
0.641722423,13.46006998,9
0.598189184,12.664907,9
0.548063348,11.93714321,9
0.477846664,10.84494506,9
0.434313425,10.04978209,9
0.394205389,9.454238537,9
0.347412682,8.759437726,9
0.287140139,7.666134676,9
0.223589712,6.639862501,9
0.163409244,5.713215886,9
0.119949665,5.051378062,9
0.086489473,4.488429194,9
0.016235959,3.329568473,9
-0.013854275,2.866245166,9
0.917211958,20.0961267,10
0.893732736,19.5987355,10
0.850217912,18.83690381,10
0.809999386,18.04137254,10
0.763169848,17.27990915,10
0.709563563,16.25253207,10
0.676084955,15.65625192,10
0.615830827,14.59628015,10
0.568964459,13.7681542,10
0.525375974,12.87299736,10
0.471843349,11.97894543,10
0.421625437,11.0845252,10
0.371389111,10.15677368,10
0.301025106,8.797925235,10
0.270879627,8.234608066,10
0.230734762,7.57240194,10
0.177146891,6.578356148,10
0.126965809,5.75059849,10
0.066674851,4.623964152,10
0.016475354,3.762875207,10
-0.01365171,3.232889325,10
