Pitch to Backbone Length,Incidence Correction i+istall,asin(o/s)
0.344728939,39.29824561,10
0.412438755,37.19298246,10
0.480022127,34.73684211,10
0.529587482,32.28070175,10
0.578710289,28.59649123,10
0.624039829,24.38596491,10
0.661972499,19.64912281,10
0.682645804,17.01754386,10
0.70679627,14.03508772,10
0.734171013,10,10
0.761419314,5.614035088,10
0.781966177,2.631578947,10
0.802639482,0,10
0.837221432,-4.035087719,10
0.858021179,-6.315789474,10
0.361861862,26.84210526,20
0.411996207,25.96491228,20
0.469148095,24.56140351,20
0.522443496,22.45614035,20
0.57194563,19.8245614,20
0.610700174,17.36842105,20
0.649265055,14.38596491,20
0.673731626,12.28070175,20
0.701738581,10,20
0.729492651,7.01754386,20
0.760850324,4.035087719,20
0.799099099,0.175438596,20
0.808961593,-2.456140351,20
0.829382014,-5.789473684,20
0.355919077,20.35087719,30
0.435008693,19.8245614,30
0.492223803,18.59649123,30
0.556266793,16.31578947,30
0.605768927,13.68421053,30
0.651604236,10.87719298,30
0.690169116,7.894736842,30
0.728797218,5.087719298,30
0.763948159,2.631578947,30
0.799035878,0,30
0.851635846,-4.035087719,30
0.883056741,-6.842105263,30
0.92889205,-9.649122807,30
0.97820452,-12.80701754,30
1.041994626,-15.78947368,30
1.102434013,-18.07017544,30
1.180891418,-20.35087719,30
1.266682472,-22.28070175,30
1.384842737,-24.38596491,30
1.506922712,-25.61403509,30
1.586201991,-25.61403509,30
0.353959222,14.9122807,40
0.429508456,14.56140351,40
0.494057215,13.68421053,40
0.561956694,12.10526316,40
0.62239608,9.824561404,40
0.668421053,7.543859649,40
0.707302039,5.438596491,40
0.746119804,3.157894737,40
0.802639482,0,40
0.873257468,-4.035087719,40
0.933380749,-7.192982456,40
1.014872768,-11.05263158,40
1.085806859,-14.21052632,40
1.181966177,-17.36842105,40
1.271171171,-19.8245614,40
1.360692271,-21.40350877,40
1.479231863,-22.45614035,40
1.529619093,-22.63157895,40
1.598340446,-21.92982456,40
0.319756599,10,50
0.373810653,10,50
0.449423107,9.824561404,50
0.517638691,9.122807018,50
0.589078552,7.368421053,50
0.64616722,5.789473684,50
0.713813814,3.50877193,50
0.887798325,-3.684210526,50
0.937553343,-5.614035088,50
0.998055951,-7.719298246,50
1.054765292,-10.35087719,50
1.126015489,-12.63157895,50
1.229382014,-15.78947368,50
1.325920657,-17.89473684,50
1.419235024,-18.94736842,50
1.505531848,-19.47368421,50
1.606748854,-18.59649123,50
0.361672199,6.315789474,60
0.426537063,6.315789474,60
0.49487909,5.964912281,60
0.591733839,4.736842105,60
0.666840525,3.157894737,60
0.731262842,1.929824561,60
0.802639482,0,60
0.895195195,-3.157894737,60
0.962841789,-5.438596491,60
1.041362415,-7.543859649,60
1.134107792,-10.1754386,60
1.248411569,-12.98245614,60
1.319977873,-14.38596491,60
1.420562668,-15.26315789,60
1.499841947,-15.26315789,60
1.590374585,-14.03508772,60
0.36458037,4.385964912,70
0.432985617,4.210526316,70
0.508534851,3.859649123,70
0.584020863,3.333333333,70
0.652173226,2.456140351,70
0.738090722,0.877192982,70
0.87053896,-1.578947368,70
0.924024024,-3.157894737,70
0.984842737,-4.385964912,70
1.067093409,-6.140350877,70
1.142263316,-7.543859649,70
1.231784416,-9.122807018,70
1.332179548,-10.52631579,70
1.40766556,-11.05263158,70
1.472593646,-10.87719298,70
1.541188557,-10.52631579,70
1.588351509,-9.649122807,70
