Pitch to backbone length ratio s/b,incidence correction i-istall_sb,asin(o/s)
0.335959269,-16.36970187,10
0.421920376,-12.96805499,10
0.525673639,-8.826416204,10
0.608605668,-5.873065471,10
0.679686064,-3.363048193,10
0.777292946,-0.567952064,10
0.860107341,1.785464838,10
0.942833511,3.688931368,10
1.007708709,4.552439069,10
1.096140132,5.552696394,10
1.20495166,5.491489909,10
1.296176892,5.740175716,10
1.425574385,5.667389626,10
1.572646399,5.734661618,10
0.335429916,-19.06940411,20
0.391835459,-16.40113223,20
0.448270411,-13.58287689,20
0.513498511,-10.91956769,20
0.554964526,-9.442892328,20
0.590578245,-7.812925045,20
0.641013859,-5.591295078,20
0.703212881,-3.376282028,20
0.768293938,-1.462890122,20
0.800907988,-0.131235525,20
0.851225968,1.490460611,20
0.91918906,3.102231372,20
0.984123075,4.265705988,20
1.048998272,5.12921369,20
1.13734147,5.679520641,20
1.237301033,5.473293387,20
1.296147484,5.590192258,20
1.387372716,5.838878065,20
1.466775723,5.794213873,20
1.572646399,5.734661618,20
0.768293938,-1.462890122,30
0.800907988,-0.131235525,30
0.851225968,1.490460611,30
0.91918906,3.102231372,30
0.984123075,4.265705988,30
1.048998272,5.12921369,30
1.13734147,5.679520641,30
1.237301033,5.473293387,30
1.296147484,5.590192258,30
1.387372716,5.838878065,30
1.466775723,5.794213873,30
1.572646399,5.734661618,30
0.340664633,-22.37234864,30
0.367396978,-21.03738558,30
0.409010036,-18.81079293,30
0.447682241,-16.58254604,30
0.486325038,-14.50428262,30
0.516057053,-12.87100687,30
0.548729919,-11.23938536,30
0.590372385,-8.862809249,30
0.631926626,-6.936183509,30
0.673451458,-5.159541227,30
0.723828254,-3.237878175,30
0.768293938,-1.462890122,40
0.800907988,-0.131235525,40
0.851225968,1.490460611,40
0.91918906,3.102231372,40
0.984123075,4.265705988,40
1.048998272,5.12921369,40
1.13734147,5.679520641,40
1.237301033,5.473293387,40
1.296147484,5.590192258,40
1.387372716,5.838878065,40
1.466775723,5.794213873,40
1.572646399,5.734661618,40
0.336576848,-28.22004926,40
0.375396096,-25.24188509,40
0.417156196,-22.26537514,40
0.458945705,-19.13888174,40
0.503617248,-16.31400948,40
0.545377348,-13.33749954,40
0.595930596,-10.51593574,40
0.63760247,-7.989376172,40
0.685214866,-5.166158144,40
0.851225968,1.490460611,50
0.91918906,3.102231372,50
0.984123075,4.265705988,50
1.048998272,5.12921369,50
1.13734147,5.679520641,50
1.237301033,5.473293387,50
1.296147484,5.590192258,50
1.387372716,5.838878065,50
1.466775723,5.794213873,50
1.572646399,5.734661618,50
0.335665184,-32.86953645,50
0.371572988,-29.73973459,50
0.413450722,-26.16329081,50
0.458269309,-22.58850127,50
0.503029078,-19.31367864,50
0.544847995,-16.03720178,50
0.583667243,-13.05903761,50
0.625368526,-10.38249458,50
0.673039738,-7.259309635,50
0.720563908,-4.886041981,50
0.774058008,-2.066132412,50
0.851225968,1.490460611,60
0.91918906,3.102231372,60
0.984123075,4.265705988,60
1.048998272,5.12921369,60
1.13734147,5.679520641,60
1.237301033,5.473293387,60
1.296147484,5.590192258,60
1.387372716,5.838878065,60
1.466775723,5.794213873,60
1.572646399,5.734661618,60
0.720563908,-4.886041981,60
0.774058008,-2.066132412,60
0.337900232,-36.47079366,60
0.367896923,-33.4876668,60
0.397893615,-30.50453994,60
0.424802411,-28.26967614,60
0.451799434,-25.58486196,60
0.48767783,-22.60504356,60
0.517615704,-19.92188362,60
0.553464691,-17.09204867,60
0.586402235,-14.11057604,60
0.628132927,-11.28404955,60
0.675774731,-8.310848068,60
