Reynolds Number,Profile Loss Ratio,Finish
10089.30603,2.09752322,0.02
11426.66334,1.998452012,0.02
15187.31102,1.812693498,0.02
18468.40488,1.688854489,0.02
23900.49829,1.546439628,0.02
31766.43,1.404024768,0.02
48675.5192,1.224458204,0.02
59191.46553,1.156346749,0.02
75923.35061,1.088235294,0.02
127154.1394,0.952012384,0.02
200104.3693,0.859133127,0.02
278051.0271,0.797213622,0.02
495574.2232,0.704334365,0.02
713545.7486,0.667182663,0.02
956851.5688,0.660990712,0.02
1143063.83,0.660990712,0.02
1602506.169,0.660990712,0.02
2129909.571,0.660990712,0.02
2369718.236,0.660990712,0.02
10089.30603,2.09752322,0.05
11426.66334,1.998452012,0.05
15187.31102,1.812693498,0.05
18468.40488,1.688854489,0.05
23900.49829,1.546439628,0.05
31766.43,1.404024768,0.05
48675.5192,1.224458204,0.05
59191.46553,1.156346749,0.05
75923.35061,1.088235294,0.05
127154.1394,0.952012384,0.05
200104.3693,0.859133127,0.05
249913.0634,0.821981424,0.05
350362.9592,0.809597523,0.05
491187.6213,0.809597523,0.05
822626.2246,0.809597523,0.05
1000347.867,0.809597523,0.05
1588321.5,0.809597523,0.05
1736006.59,0.809597523,0.05
10089.30603,2.09752322,0.1
11426.66334,1.998452012,0.1
15187.31102,1.812693498,0.1
18468.40488,1.688854489,0.1
23900.49829,1.546439628,0.1
31766.43,1.404024768,0.1
48675.5192,1.224458204,0.1
59191.46553,1.156346749,0.1
75923.35061,1.088235294,0.1
127154.1394,0.952012384,0.1
164553.8589,0.927244582,0.1
230694.531,0.914860681,0.1
314907.2361,0.914860681,0.1
465671.4802,0.921052632,0.1
808127.6371,0.921052632,0.1
1173962.891,0.921052632,0.1
1519259.418,0.921052632,0.1
10089.30603,2.09752322,0.2
11426.66334,1.998452012,0.2
15187.31102,1.812693498,0.2
18468.40488,1.688854489,0.2
23900.49829,1.546439628,0.2
31766.43,1.404024768,0.2
48675.5192,1.224458204,0.2
59191.46553,1.156346749,0.2
68849.55154,1.113003096,0.2
97384.90364,1.057275542,0.2
169002.0442,1.044891641,0.2
293286.6375,1.044891641,0.2
495574.2232,1.044891641,0.2
991493.2344,1.044891641,0.2
1163571.495,1.044891641,0.2
10089.30603,2.09752322,0.5
11426.66334,1.998452012,0.5
15187.31102,1.812693498,0.5
18468.40488,1.688854489,0.5
23900.49829,1.546439628,0.5
31766.43,1.404024768,0.5
38287.37704,1.360681115,0.5
55127.55474,1.323529412,0.5
100017.3919,1.317337461,0.5
188030.1547,1.317337461,0.5
356648.8079,1.317337461,0.5
457464.1334,1.323529412,0.5
10089.30603,2.09752322,1
11426.66334,1.998452012,1
15187.31102,1.812693498,1
18468.40488,1.688854489,1
24329.29624,1.620743034,1
30930.32789,1.583591331,1
48675.5192,1.56501548,1
86755.05668,1.57120743,1
131757.6028,1.57120743,1
216774.5187,1.583591331,1
295905.8642,1.583591331,1
400347.958,1.577399381,1
10089.30603,2.09752322,2
14398.36285,1.96130031,2
20916.42817,1.899380805,2
33210.45974,1.893188854,2
46559.05054,1.899380805,2
80083.51719,1.893188854,2
119481.7114,1.899380805,2
172034.1035,1.899380805,2
247700.9445,1.899380805,2
338121.6689,1.893188854,2
10454.57728,2.438080495,5
14656.68334,2.438080495,5
21867.24148,2.438080495,5
40745.97209,2.438080495,5
67037.41038,2.438080495,5
108349.5681,2.444272446,5
285567.2439,2.444272446,5
10737.18321,3.051083591,10
15187.31102,3.051083591,10
22062.52914,3.051083591,10
32050.12339,3.051083591,10
41476.99404,3.051083591,10
62992.40086,3.057275542,10
82982.84507,3.057275542,10
115307.1539,3.057275542,10
161653.6371,3.063467492,10
184716.1688,3.063467492,10
