Trailing Edge Thickness to Pitch Ratio,Profile Loss Npt,Fluid Outlet Angle
-0.000118541,1.004389223,10
0.006600455,1.050794445,10
0.015054915,1.114013676,10
0.023515383,1.181029425,10
0.030053564,1.23315946,10
0.035838448,1.289206155,10
0.041629339,1.349049369,10
0.049194742,1.450383957,10
0.054057528,1.523665162,10
0.059893473,1.611982259,10
0.064581452,1.694784794,10
0.068889779,1.7776474,10
0.072221944,1.843575855,10
0.076171644,1.939786346,10
0.080690822,2.035906729,10
0.083664361,2.115183068,10
0.087213384,2.198165817,10
0.090379752,2.279310379,10
0.094133619,2.371754388,10
0.097501827,2.46046195,10
0.100885053,2.558660806,10
0.104476127,2.668219181,10
-0.000118541,1.004389223,15
0.013660055,1.07246223,15
0.023042621,1.12224347,15
0.030897568,1.166570219,15
0.039909492,1.222106307,15
0.047002133,1.264654939,15
0.053148647,1.30925201,15
0.060253301,1.359393678,15
0.067565803,1.420894865,15
0.074878305,1.482396051,15
0.081612319,1.538292568,15
0.089322494,1.611123237,15
0.096264355,1.678379271,15
0.102642745,1.749521931,15
0.109406794,1.824401037,15
0.115215707,1.895633804,15
0.120644968,1.966926643,15
-0.000118541,1.004389223,20
0.020129154,1.080932309,20
0.035227521,1.143100289,20
0.045363382,1.188964868,20
0.053405152,1.231363322,20
0.063161362,1.277287973,20
0.074071545,1.332523703,20
0.084032599,1.387909612,20
0.094954796,1.450738379,20
0.105879997,1.515465404,20
0.120065278,1.60056267,20
-0.000118541,1.004389223,30
0.021641754,1.076895506,30
0.031955427,1.115137013,30
0.040169001,1.146115878,30
0.047804087,1.171490073,30
0.055628999,1.196834233,30
0.063267088,1.224106687,30
0.072056147,1.258791962,30
0.083704608,1.300619737,30
0.092294831,1.329640272,30
0.100321583,1.362547431,30
0.109303471,1.39910093,30
0.120391466,1.446713589,30
-0.000118541,1.004389223,50
0.019903285,1.058183238,50
0.029822289,1.086993522,50
0.040132958,1.123336771,50
0.049295662,1.154165457,50
0.059787147,1.184783893,50
0.071616424,1.220886855,50
0.085358977,1.266180755,50
0.094325848,1.293242959,50
0.104058029,1.323981538,50
0.112452418,1.34923559,50
0.120274326,1.372681491,50
